match_number,date,opponent,venue,result,margin
1,2019-03-23,Chennai Super Kings,MA Chidambaram Stadium,lost,by 7 wickets
7,2019-03-28,Mumbai Indians,M.Chinnaswamy Stadium,lost,by 6 runs
11,2019-03-31,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,lost,by 118 runs
14,2019-04-02,Rajasthan Royals,Sawai Mansingh Stadium,lost,by 7 wickets
17,2019-04-05,Kolkata Knight Riders,M.Chinnaswamy Stadium,lost,by 5 wickets
20,2019-04-07,Delhi Capitals,M.Chinnaswamy Stadium,lost,by 4 wickets
28,2019-04-13,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,won,by 8 wickets
31,2019-04-15,Mumbai Indians,Wankhede Stadium,lost,by 5 wickets
35,2019-04-19,Kolkata Knight Riders,Eden Gardens,won,by 10 runs
39,2019-04-21,Chennai Super Kings,M.Chinnaswamy Stadium,won,by 1 runs
42,2019-04-24,Kings XI Punjab,M.Chinnaswamy Stadium,won,by 17 runs
46,2019-04-28,Delhi Capitals,Arun Jaitley Stadium,lost,by 16 runs
49,2019-04-30,Rajasthan Royals,M.Chinnaswamy Stadium,no result,
54,2019-05-04,Sunrisers Hyderabad,M.Chinnaswamy Stadium,won,by 4 wickets
