match_number,date,opponent,venue,result,margin
2,2011-04-09,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",lost,by 8 wickets
6,2011-04-11,Kolkata Knight Riders,Eden Gardens,lost,by 9 runs
11,2011-04-14,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",won,by 33 runs
15,2011-04-16,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",lost,by 8 wickets
19,2011-04-19,Delhi Daredevils,Feroz Shah Kotla,won,by 16 runs
27,2011-04-24,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",lost,by 37 runs
32,2011-04-27,Kochi Tuskers Kerala,Nehru Stadium,won,by 55 runs
39,2011-05-01,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",lost,by 19 runs
42,2011-05-03,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",lost,by 20 runs
46,2011-05-05,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",lost,by 4 wickets
53,2011-05-10,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",lost,by 6 wickets
59,2011-05-14,Mumbai Indians,Wankhede Stadium,won,by 10 runs
62,2011-05-16,Pune Warriors,Dr DY Patil Sports Academy,won,by 6 wickets
67,2011-05-21,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,won,by 82 runs
