match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
2,2025-03-23,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",11,8,2,0,137.5,c PJ Cummins b Mohammed Shami,4
6,2025-03-26,Kolkata Knight Riders,"Barsapara Cricket Stadium, Guwahati",8,9,0,0,88.89,b MM Ali,4
11,2025-03-30,Chennai Super Kings,"Barsapara Cricket Stadium, Guwahati",81,36,10,5,225.0,st MS Dhoni b R Ashwin,3
18,2025-04-05,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",12,7,2,0,171.43,c GJ Maxwell b M Jansen,4
23,2025-04-09,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",1,3,0,0,33.33,c K Khejroliya b Mohammed Siraj,3
28,2025-04-13,Royal Challengers Bengaluru,"Sawai Mansingh Stadium, Jaipur",4,1,1,0,400.0,not out,6
32,2025-04-16,Delhi Capitals,"Arun Jaitley Stadium, Delhi",51,28,6,2,182.14,lbw b MA Starc,4
36,2025-04-19,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",8,7,0,1,114.29,c Avesh Khan b SN Thakur,3
42,2025-04-24,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",28,22,3,1,127.27,c B Kumar b KH Pandya,3
47,2025-04-28,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",4,2,1,0,200.0,lbw b Rashid Khan,3
50,2025-05-01,Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",9,11,2,0,81.82,c Tilak Varma b TA Boult,3
