match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
4,2008-04-20,Deccan Chargers,Eden Gardens,10,17,1,0,58.82,c SB Styris b WPUJC Vaas,1
11,2008-04-26,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",27,16,5,1,168.75,b MS Gony,4
18,2008-05-01,Rajasthan Royals,Sawai Mansingh Stadium,1,2,0,0,50.0,b SK Trivedi,8
22,2008-05-03,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",59,32,2,4,184.38,not out,7
29,2008-05-08,Royal Challengers Bangalore,Eden Gardens,17,10,1,1,170.0,not out,7
35,2008-05-13,Delhi Daredevils,Eden Gardens,5,6,0,0,83.33,not out,7
38,2008-05-16,Mumbai Indians,Wankhede Stadium,1,6,0,0,16.67,c SR Tendulkar b DJ Bravo,6
41,2008-05-18,Chennai Super Kings,Eden Gardens,15,9,1,0,166.67,not out,7
44,2008-05-20,Rajasthan Royals,Eden Gardens,11,6,0,1,183.33,not out,7
52,2008-05-25,Kings XI Punjab,Eden Gardens,13,15,2,0,86.67,c IK Pathan b PP Chawla,6
