match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
5,2013-04-06,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",4.0,0,16,2,4.0,9,0,0
10,2013-04-09,Delhi Daredevils,Wankhede Stadium,4.0,0,34,2,8.5,5,1,0
15,2013-04-13,Pune Warriors,Wankhede Stadium,2.0,0,20,1,10.0,4,2,0
23,2013-04-17,Rajasthan Royals,Sawai Mansingh Stadium,4.0,0,31,0,7.75,4,0,0
33,2013-04-24,Kolkata Knight Riders,Eden Gardens,4.0,0,21,2,5.25,9,0,0
41,2013-04-29,Kings XI Punjab,Wankhede Stadium,3.0,0,22,2,7.33,7,0,0
43,2013-05-01,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",4.0,0,18,0,4.5,10,0,0
49,2013-05-05,Chennai Super Kings,Wankhede Stadium,2.2,0,11,3,4.71,8,1,0
53,2013-05-07,Kolkata Knight Riders,Wankhede Stadium,4.0,0,23,2,5.75,11,0,0
58,2013-05-11,Pune Warriors,Subrata Roy Sahara Stadium,3.0,0,28,0,9.33,6,0,0
62,2013-05-13,Sunrisers Hyderabad,Wankhede Stadium,4.0,0,37,0,9.25,4,0,0
66,2013-05-15,Rajasthan Royals,Wankhede Stadium,4.0,0,36,1,9.0,10,0,0
73,2013-05-21,Chennai Super Kings,Feroz Shah Kotla,2.0,0,20,0,10.0,1,0,0
75,2013-05-24,Rajasthan Royals,Eden Gardens,4.0,0,36,0,9.0,9,0,0
76,2013-05-26,Chennai Super Kings,Eden Gardens,4.0,0,28,1,7.0,11,0,0
