match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
15,2017-04-15,Delhi Daredevils,Feroz Shah Kotla,3.0,0,23,1,7.67,6,0,1
19,2017-04-17,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",4.0,0,38,1,9.5,5,1,0
26,2017-04-23,Gujarat Lions,Saurashtra Cricket Association Stadium,4.0,0,24,2,6.0,8,0,0
33,2017-04-28,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",4.0,0,42,0,10.5,3,2,0
