match_number,date,opponent,venue,result,margin
3,2022-03-27,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",won,by 5 wickets
8,2022-04-01,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",lost,by 6 wickets
11,2022-04-03,Chennai Super Kings,"Brabourne Stadium, Mumbai",won,by 54 runs
16,2022-04-08,Gujarat Titans,"Brabourne Stadium, Mumbai",lost,by 6 wickets
23,2022-04-13,Mumbai Indians,"Maharashtra Cricket Association Stadium, Pune",won,by 12 runs
28,2022-04-17,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",lost,by 7 wickets
32,2022-04-20,Delhi Capitals,"Brabourne Stadium, Mumbai",lost,by 9 wickets
38,2022-04-25,Chennai Super Kings,"Wankhede Stadium, Mumbai",won,by 11 runs
42,2022-04-29,Lucknow Super Giants,"Maharashtra Cricket Association Stadium, Pune",lost,by 20 runs
48,2022-05-03,Gujarat Titans,"Dr DY Patil Sports Academy, Mumbai",won,by 8 wickets
52,2022-05-07,Rajasthan Royals,"Wankhede Stadium, Mumbai",lost,by 6 wickets
60,2022-05-13,Royal Challengers Bangalore,"Brabourne Stadium, Mumbai",won,by 54 runs
64,2022-05-16,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",lost,by 17 runs
70,2022-05-22,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",won,by 5 wickets
