match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,2023-03-31,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",4.0,0,29,2,7.25,12,0,1
7,2023-04-04,Delhi Capitals,"Arun Jaitley Stadium, Delhi",4.0,0,41,3,10.25,15,4,0
13,2023-04-09,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",4.0,0,28,1,7.0,10,0,0
18,2023-04-13,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",4.0,0,44,1,11.0,9,1,0
23,2023-04-16,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",4.0,0,25,3,6.25,17,1,0
30,2023-04-22,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",3.0,1,18,0,6.0,8,0,0
35,2023-04-25,Mumbai Indians,"Narendra Modi Stadium, Ahmedabad",4.0,0,18,0,4.5,14,1,0
39,2023-04-29,Kolkata Knight Riders,"Eden Gardens, Kolkata",4.0,0,33,3,8.25,12,0,0
44,2023-05-02,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",4.0,0,11,4,2.75,19,0,0
48,2023-05-05,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",4.0,0,27,1,6.75,13,2,0
51,2023-05-07,Lucknow Super Giants,"Narendra Modi Stadium, Ahmedabad",4.0,0,37,1,9.25,7,1,0
57,2023-05-12,Mumbai Indians,"Wankhede Stadium, Mumbai",4.0,0,53,0,13.25,7,0,0
62,2023-05-15,Sunrisers Hyderabad,"Narendra Modi Stadium, Ahmedabad",4.0,0,21,4,5.25,13,0,0
70,2023-05-21,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",4.0,0,39,1,9.75,8,1,0
71,2023-05-23,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",4.0,0,28,2,7.0,9,0,1
73,2023-05-26,Mumbai Indians,"Narendra Modi Stadium, Ahmedabad",3.0,0,41,2,13.67,6,0,0
74,2023-05-29,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",3.0,0,29,0,9.67,5,0,0
