match_number,date,opponent,venue,result,margin
4,2014-04-18,Rajasthan Royals,Sheikh Zayed Stadium,lost,by 4 wickets
9,2014-04-22,Kings XI Punjab,Sharjah Cricket Stadium,lost,by 72 runs
12,2014-04-25,Delhi Daredevils,Dubai International Cricket Stadium,won,by 4 runs
17,2014-04-27,Chennai Super Kings,Sharjah Cricket Stadium,lost,by 5 wickets
20,2014-04-30,Mumbai Indians,Dubai International Cricket Stadium,won,by 15 runs
24,2014-05-04,Royal Challengers Bangalore,M Chinnaswamy Stadium,lost,by 4 wickets
30,2014-05-08,Rajasthan Royals,"Sardar Patel Stadium, Motera",won,by 32 runs
32,2014-05-10,Delhi Daredevils,Feroz Shah Kotla,won,by 8 wickets
36,2014-05-12,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",lost,by 7 wickets
39,2014-05-14,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",lost,by 6 wickets
43,2014-05-18,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",lost,by 7 wickets
46,2014-05-20,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",won,by 7 wickets
50,2014-05-22,Chennai Super Kings,JSCA International Stadium Complex,won,by 6 wickets
54,2014-05-24,Kolkata Knight Riders,Eden Gardens,lost,by 4 wickets
