match_number,date,opponent,venue,result,margin
4,2025-03-24,Lucknow Super Giants,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",won,by 1 wickets
10,2025-03-30,Sunrisers Hyderabad,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",won,by 7 wickets
17,2025-04-05,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",won,by 25 runs
24,2025-04-10,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",won,by 6 wickets
29,2025-04-13,Mumbai Indians,"Arun Jaitley Stadium, Delhi",lost,by 12 runs
32,2025-04-16,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",no result,
35,2025-04-19,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",lost,by 7 wickets
40,2025-04-22,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",won,by 8 wickets
46,2025-04-27,Royal Challengers Bengaluru,"Arun Jaitley Stadium, Delhi",lost,by 6 wickets
48,2025-04-29,Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi",lost,by 14 runs
55,2025-05-05,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",no result,
58,2025-05-08,Punjab Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",no result,
60,2025-05-18,Gujarat Titans,"Arun Jaitley Stadium, Delhi",lost,by 10 wickets
63,2025-05-21,Mumbai Indians,"Wankhede Stadium, Mumbai",lost,by 59 runs
66,2025-05-24,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",won,by 6 wickets
