match_number,opponent,batter,runs,balls,fours,sixes,strike_rate,dismissal
46,Royal Challengers Bengaluru,V Nigam,12,6,1,1,200.0,"run out (V Kohli, B Kumar)"
46,Royal Challengers Bengaluru,PVD Chameera,0,1,0,0,0.0,not out
48,Kolkata Knight Riders,Abishek Porel,4,2,1,0,200.0,c AD Russell b AS Roy
48,Kolkata Knight Riders,F du Plessis,62,45,7,2,137.78,c RK Singh b SP Narine
48,Kolkata Knight Riders,KK Nair,15,13,2,0,115.38,lbw b VG Arora
48,Kolkata Knight Riders,KL Rahul,7,5,1,0,140.0,run out (SP Narine)
48,Kolkata Knight Riders,AR Patel,43,23,4,3,186.96,c Harshit Rana b SP Narine
48,Kolkata Knight Riders,T Stubbs,1,3,0,0,33.33,b SP Narine
48,Kolkata Knight Riders,V Nigam,38,19,5,2,200.0,b AD Russell
48,Kolkata Knight Riders,Ashutosh Sharma,7,6,0,1,116.67,c SP Narine b CV Varun
48,Kolkata Knight Riders,MA Starc,0,1,0,0,0.0,c Rahmanullah Gurbaz b CV Varun
48,Kolkata Knight Riders,PVD Chameera,2,3,0,0,66.67,not out
48,Kolkata Knight Riders,Kuldeep Yadav,1,1,0,0,100.0,not out
55,Sunrisers Hyderabad,KK Nair,0,1,0,0,0.0,c Ishan Kishan b PJ Cummins
55,Sunrisers Hyderabad,F du Plessis,3,8,0,0,37.5,c Ishan Kishan b PJ Cummins
55,Sunrisers Hyderabad,Abishek Porel,8,10,1,0,80.0,c Ishan Kishan b PJ Cummins
55,Sunrisers Hyderabad,KL Rahul,10,14,1,0,71.43,c Ishan Kishan b JD Unadkat
55,Sunrisers Hyderabad,AR Patel,6,7,1,0,85.71,c PJ Cummins b HV Patel
55,Sunrisers Hyderabad,T Stubbs,41,36,4,0,113.89,not out
55,Sunrisers Hyderabad,V Nigam,18,17,1,1,105.88,"run out (Aniket Verma, Zeeshan Ansari)"
55,Sunrisers Hyderabad,Ashutosh Sharma,41,26,2,3,157.69,c A Manohar b E Malinga
55,Sunrisers Hyderabad,MA Starc,1,1,0,0,100.0,not out
60,Gujarat Titans,KL Rahul,112,65,14,4,172.31,not out
60,Gujarat Titans,F du Plessis,5,10,0,0,50.0,c Mohammed Siraj b Arshad Khan
60,Gujarat Titans,Abishek Porel,30,19,1,3,157.89,c JC Buttler b R Sai Kishore
60,Gujarat Titans,AR Patel,25,16,2,1,156.25,c R Sai Kishore b M Prasidh Krishna
60,Gujarat Titans,T Stubbs,21,10,0,2,210.0,not out
63,Mumbai Indians,KL Rahul,11,6,2,0,183.33,c RD Rickelton b TA Boult
63,Mumbai Indians,F du Plessis,6,7,1,0,85.71,c MJ Santner b DL Chahar
63,Mumbai Indians,Abishek Porel,6,9,0,0,66.67,st RD Rickelton b WG Jacks
63,Mumbai Indians,Sameer Rizvi,39,35,6,1,111.43,b MJ Santner
63,Mumbai Indians,V Nigam,20,11,3,1,181.82,c & b MJ Santner
63,Mumbai Indians,T Stubbs,2,4,0,0,50.0,lbw b JJ Bumrah
63,Mumbai Indians,Ashutosh Sharma,18,16,1,1,112.5,st RD Rickelton b MJ Santner
63,Mumbai Indians,M Tiwari,3,4,0,0,75.0,b JJ Bumrah
63,Mumbai Indians,PVD Chameera,8,10,0,0,80.0,not out
63,Mumbai Indians,Kuldeep Yadav,7,8,0,0,87.5,c RA Bawa b KV Sharma
63,Mumbai Indians,Mustafizur Rahman,0,1,0,0,0.0,b JJ Bumrah
66,Punjab Kings,KL Rahul,35,21,6,1,166.67,c Shashank Singh b M Jansen
66,Punjab Kings,F du Plessis,23,15,2,1,153.33,c Priyansh Arya b Harpreet Brar
66,Punjab Kings,KK Nair,44,27,5,2,162.96,b Harpreet Brar
66,Punjab Kings,Sediqullah Atal,22,16,0,2,137.5,c Arshdeep Singh b P Dubey
66,Punjab Kings,Sameer Rizvi,58,25,3,5,232.0,not out
66,Punjab Kings,T Stubbs,18,14,2,0,128.57,not out
