match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,2023-03-31,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",3.0,0,28,0,9.33,5,0,0
7,2023-04-04,Delhi Capitals,"Arun Jaitley Stadium, Delhi",3.0,0,18,0,6.0,5,0,0
23,2023-04-16,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",4.0,0,24,1,6.0,14,0,0
30,2023-04-22,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1.0,0,7,0,7.0,2,0,0
35,2023-04-25,Mumbai Indians,"Narendra Modi Stadium, Ahmedabad",2.0,0,10,1,5.0,7,0,0
39,2023-04-29,Kolkata Knight Riders,"Eden Gardens, Kolkata",3.0,0,34,0,11.33,9,1,0
44,2023-05-02,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",1.0,0,10,0,10.0,3,0,1
48,2023-05-05,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",2.0,0,22,1,11.0,3,0,0
51,2023-05-07,Lucknow Super Giants,"Narendra Modi Stadium, Ahmedabad",3.0,0,37,0,12.33,6,2,0
73,2023-05-26,Mumbai Indians,"Narendra Modi Stadium, Ahmedabad",2.0,0,24,0,12.0,4,1,0
74,2023-05-29,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",1.0,0,14,0,14.0,1,1,0
