match_number,date,opponent,venue,result,margin
6,2013-04-07,Pune Warriors,Subrata Roy Sahara Stadium,won,by 8 wickets
11,2013-04-10,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",lost,by 10 wickets
18,2013-04-14,Rajasthan Royals,Sawai Mansingh Stadium,lost,by 6 wickets
20,2013-04-16,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",won,by 4 runs
25,2013-04-19,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",lost,by 5 wickets
29,2013-04-21,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",won,by 7 wickets
32,2013-04-23,Delhi Daredevils,Feroz Shah Kotla,won,by 5 wickets
35,2013-04-26,Kolkata Knight Riders,Eden Gardens,lost,by 6 wickets
41,2013-04-29,Mumbai Indians,Wankhede Stadium,lost,by 4 runs
45,2013-05-02,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",lost,by 15 runs
51,2013-05-06,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",won,by 6 wickets
55,2013-05-09,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",lost,by 8 wickets
59,2013-05-11,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",lost,by 30 runs
63,2013-05-14,Royal Challengers Bangalore,M Chinnaswamy Stadium,won,by 7 wickets
67,2013-05-16,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium,won,by 7 runs
69,2013-05-18,Mumbai Indians,Himachal Pradesh Cricket Association Stadium,won,by 50 runs
