innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Gujarat Titans,1,B Sai Sudharsan,10,7,Shubman Gill,5,7,0,15,14
1,Gujarat Titans,2,JC Buttler,7,11,B Sai Sudharsan,2,6,2,11,17
1,Gujarat Titans,3,N Sindhu,22,14,B Sai Sudharsan,16,12,0,38,26
1,Gujarat Titans,4,Washington Sundar,25,22,B Sai Sudharsan,33,19,2,60,41
1,Gujarat Titans,5,JO Holder,11,10,Washington Sundar,25,11,4,40,21
1,Gujarat Titans,6,R Tewatia,4,1,JO Holder,0,0,0,4,1
2,Sunrisers Hyderabad,1,TM Head,0,4,Abhishek Sharma,0,0,0,0,4
2,Sunrisers Hyderabad,2,Ishan Kishan,0,2,Abhishek Sharma,6,4,0,6,6
2,Sunrisers Hyderabad,3,R Smaran,6,4,Ishan Kishan,11,5,0,17,9
2,Sunrisers Hyderabad,4,H Klaasen,6,5,R Smaran,3,11,0,9,16
2,Sunrisers Hyderabad,5,S Arora,16,13,H Klaasen,8,10,0,24,23
2,Sunrisers Hyderabad,6,Nithish Kumar Reddy,0,2,H Klaasen,0,1,0,0,3
2,Sunrisers Hyderabad,7,PJ Cummins,1,1,Nithish Kumar Reddy,2,2,1,4,3
2,Sunrisers Hyderabad,8,Shivang Kumar,4,6,PJ Cummins,8,4,0,12,10
2,Sunrisers Hyderabad,9,PP Hinge,0,4,PJ Cummins,10,4,0,10,8
2,Sunrisers Hyderabad,10,E Malinga,0,3,PP Hinge,3,4,1,4,7
