innings,team,wicket_number,player_out,score,over
1,Gujarat Titans,1,Shubman Gill,15,3.2
1,Gujarat Titans,2,JC Buttler,26,6.1
1,Gujarat Titans,3,N Sindhu,64,10.3
1,Gujarat Titans,4,B Sai Sudharsan,124,17.2
1,Gujarat Titans,5,Washington Sundar,164,20.5
2,Sunrisers Hyderabad,1,TM Head,0,1.4
2,Sunrisers Hyderabad,2,Abhishek Sharma,6,2.4
2,Sunrisers Hyderabad,3,Ishan Kishan,23,4.1
2,Sunrisers Hyderabad,4,R Smaran,32,6.5
2,Sunrisers Hyderabad,5,S Arora,56,10.4
2,Sunrisers Hyderabad,6,H Klaasen,56,11.1
2,Sunrisers Hyderabad,7,Nithish Kumar Reddy,60,11.4
2,Sunrisers Hyderabad,8,Shivang Kumar,72,13.2
2,Sunrisers Hyderabad,9,PJ Cummins,82,14.4
2,Sunrisers Hyderabad,10,PP Hinge,86,15.5
