innings,team,wicket_number,player_out,score,over
1,Chennai Super Kings,1,AM Rahane,19,3.5
1,Chennai Super Kings,2,DJ Mitchell,126,14.3
1,Chennai Super Kings,3,RD Gaikwad,200,20.2
2,Sunrisers Hyderabad,1,TM Head,21,2.5
2,Sunrisers Hyderabad,2,Anmolpreet Singh,21,2.6
2,Sunrisers Hyderabad,3,Abhishek Sharma,40,4.5
2,Sunrisers Hyderabad,4,Nithish Kumar Reddy,72,9.5
2,Sunrisers Hyderabad,5,AK Markram,85,11.5
2,Sunrisers Hyderabad,6,H Klaasen,117,16.5
2,Sunrisers Hyderabad,7,Abdul Samad,119,17.2
2,Sunrisers Hyderabad,8,PJ Cummins,124,18.3
2,Sunrisers Hyderabad,9,Shahbaz Ahmed,132,19.2
2,Sunrisers Hyderabad,10,JD Unadkat,134,19.5
