match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
2,2026-03-29,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",18,11,3,0,163.64,not out,5
13,2026-04-07,Rajasthan Royals,"Barsapara Cricket Stadium, Guwahati",9,6,2,0,150.0,c YBK Jaiswal b Ravi Bishnoi,5
20,2026-04-12,Royal Challengers Bengaluru,"Wankhede Stadium, Mumbai",40,22,6,1,181.82,c R Shepherd b JA Duffy,5
24,2026-04-16,Punjab Kings,"Wankhede Stadium, Mumbai",14,12,0,1,116.67,c XC Bartlett b M Jansen,5
