match_number,date,opponent,venue,result,margin
2,2019-03-24,Kolkata Knight Riders,Eden Gardens,lost,by 6 wickets
8,2019-03-29,Rajasthan Royals,Rajiv Gandhi International Stadium,won,by 5 wickets
11,2019-03-31,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,won,by 118 runs
16,2019-04-04,Delhi Capitals,Arun Jaitley Stadium,won,by 5 wickets
19,2019-04-06,Mumbai Indians,Rajiv Gandhi International Stadium,lost,by 40 runs
22,2019-04-08,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,lost,by 6 wickets
30,2019-04-14,Delhi Capitals,Rajiv Gandhi International Stadium,lost,by 39 runs
33,2019-04-17,Chennai Super Kings,Rajiv Gandhi International Stadium,won,by 6 wickets
38,2019-04-21,Kolkata Knight Riders,Rajiv Gandhi International Stadium,won,by 9 wickets
41,2019-04-23,Chennai Super Kings,MA Chidambaram Stadium,lost,by 6 wickets
45,2019-04-27,Rajasthan Royals,Sawai Mansingh Stadium,lost,by 7 wickets
48,2019-04-29,Kings XI Punjab,Rajiv Gandhi International Stadium,won,by 45 runs
51,2019-05-02,Mumbai Indians,Wankhede Stadium,no result,
54,2019-05-04,Royal Challengers Bangalore,M.Chinnaswamy Stadium,lost,by 4 wickets
58,2019-05-08,Delhi Capitals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,lost,by 2 wickets
