match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
2,2014-04-17,Delhi Daredevils,Sharjah Cricket Stadium,52,29,3,5,179.31,not out,4
5,2014-04-19,Mumbai Indians,Dubai International Cricket Stadium,0,2,0,0,0.0,lbw b Z Khan,4
11,2014-04-24,Kolkata Knight Riders,Sharjah Cricket Stadium,31,34,2,1,91.18,c YK Pathan b UT Yadav,4
14,2014-04-26,Rajasthan Royals,Sheikh Zayed Stadium,3,7,0,0,42.86,c SPD Smith b KW Richardson,4
18,2014-04-28,Kings XI Punjab,Dubai International Cricket Stadium,35,32,3,1,109.38,c DA Miller b R Dhawan,6
24,2014-05-04,Sunrisers Hyderabad,M Chinnaswamy Stadium,14,16,1,1,87.5,c MC Henriques b KV Sharma,6
27,2014-05-06,Mumbai Indians,Wankhede Stadium,6,10,0,0,60.0,run out (KA Pollard),5
31,2014-05-09,Kings XI Punjab,M Chinnaswamy Stadium,3,11,0,0,27.27,c V Sehwag b Shivam Sharma,6
35,2014-05-11,Rajasthan Royals,M Chinnaswamy Stadium,83,38,7,7,218.42,lbw b KW Richardson,5
38,2014-05-13,Delhi Daredevils,M Chinnaswamy Stadium,68,29,1,9,234.48,not out,5
42,2014-05-18,Chennai Super Kings,JSCA International Stadium Complex,13,9,0,1,144.44,not out,5
46,2014-05-20,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",21,25,2,1,84.0,c DW Steyn b Parvez Rasool,4
49,2014-05-22,Kolkata Knight Riders,Eden Gardens,22,12,1,2,183.33,c R Vinay Kumar b SP Narine,4
53,2014-05-24,Chennai Super Kings,M Chinnaswamy Stadium,25,24,2,0,104.17,c SK Raina b RA Jadeja,5
