match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
5,2023-04-02,Mumbai Indians,"M Chinnaswamy Stadium, Bengaluru",4.0,0,21,1,5.25,16,6,0
9,2023-04-06,Kolkata Knight Riders,"Eden Gardens, Kolkata",4.0,0,44,1,11.0,10,3,1
15,2023-04-10,Lucknow Super Giants,"M Chinnaswamy Stadium, Bengaluru",4.0,0,22,3,5.5,15,4,0
20,2023-04-15,Delhi Capitals,"M Chinnaswamy Stadium, Bengaluru",4.0,0,23,2,5.75,14,0,0
24,2023-04-17,Chennai Super Kings,"M Chinnaswamy Stadium, Bengaluru",4.0,0,30,1,7.5,10,1,0
27,2023-04-20,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",4.0,0,21,4,5.25,12,0,0
32,2023-04-23,Rajasthan Royals,"M Chinnaswamy Stadium, Bengaluru",4.0,0,39,1,9.75,7,3,0
36,2023-04-26,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bengaluru",4.0,0,33,1,8.25,11,0,0
43,2023-05-01,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",3.0,0,24,1,8.0,10,3,1
50,2023-05-06,Delhi Capitals,"Arun Jaitley Stadium, Delhi",2.0,0,28,0,14.0,3,1,0
54,2023-05-09,Mumbai Indians,"Wankhede Stadium, Mumbai",3.0,0,31,0,10.33,9,1,0
60,2023-05-14,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",2.0,0,10,1,5.0,9,1,0
65,2023-05-18,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",4.0,0,17,1,4.25,15,2,0
70,2023-05-21,Gujarat Titans,"M Chinnaswamy Stadium, Bengaluru",4.0,0,32,2,8.0,10,2,0
