match_number,date,opponent,venue,result,margin
2,2022-03-27,Delhi Capitals,"Brabourne Stadium, Mumbai",lost,by 4 wickets
9,2022-04-02,Rajasthan Royals,"Dr DY Patil Sports Academy, Mumbai",lost,by 23 runs
14,2022-04-06,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",lost,by 5 wickets
18,2022-04-09,Royal Challengers Bangalore,"Maharashtra Cricket Association Stadium, Pune",lost,by 7 wickets
23,2022-04-13,Punjab Kings,"Maharashtra Cricket Association Stadium, Pune",lost,by 12 runs
26,2022-04-16,Lucknow Super Giants,"Brabourne Stadium, Mumbai",lost,by 18 runs
33,2022-04-21,Chennai Super Kings,"Dr DY Patil Sports Academy, Mumbai",lost,by 3 wickets
37,2022-04-24,Lucknow Super Giants,"Wankhede Stadium, Mumbai",lost,by 36 runs
44,2022-04-30,Rajasthan Royals,"Dr DY Patil Sports Academy, Mumbai",won,by 5 wickets
51,2022-05-06,Gujarat Titans,"Brabourne Stadium, Mumbai",won,by 5 runs
56,2022-05-09,Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",lost,by 52 runs
59,2022-05-12,Chennai Super Kings,"Wankhede Stadium, Mumbai",won,by 5 wickets
65,2022-05-17,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",lost,by 3 runs
69,2022-05-21,Delhi Capitals,"Wankhede Stadium, Mumbai",won,by 5 wickets
