match_number,date,opponent,venue,result,margin
3,2025-03-23,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",lost,by 4 wickets
9,2025-03-29,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",lost,by 36 runs
12,2025-03-31,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",won,by 8 wickets
16,2025-04-04,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",lost,by 12 runs
20,2025-04-07,Royal Challengers Bengaluru,"Wankhede Stadium, Mumbai",lost,by 12 runs
29,2025-04-13,Delhi Capitals,"Arun Jaitley Stadium, Delhi",won,by 12 runs
33,2025-04-17,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",won,by 4 wickets
38,2025-04-20,Chennai Super Kings,"Wankhede Stadium, Mumbai",won,by 9 wickets
41,2025-04-23,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",won,by 7 wickets
45,2025-04-27,Lucknow Super Giants,"Wankhede Stadium, Mumbai",won,by 54 runs
50,2025-05-01,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",won,by 100 runs
56,2025-05-06,Gujarat Titans,"Wankhede Stadium, Mumbai",lost,by 3 wickets
63,2025-05-21,Delhi Capitals,"Wankhede Stadium, Mumbai",won,by 59 runs
69,2025-05-26,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",lost,by 7 wickets
72,2025-05-30,Gujarat Titans,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",won,by 20 runs
73,2025-06-01,Punjab Kings,"Narendra Modi Stadium, Ahmedabad",lost,by 5 wickets
