match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
10,2010-03-18,Royal Challengers Bangalore,M Chinnaswamy Stadium,10,18,1,0,55.56,st MV Boucher b A Kumble,2
13,2010-03-20,Kolkata Knight Riders,"Sardar Patel Stadium, Motera",0,1,0,0,0.0,lbw b AB Dinda,1
19,2010-03-24,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",41,30,7,0,136.67,st KC Sangakkara b PP Chawla,1
22,2010-03-26,Deccan Chargers,"Sardar Patel Stadium, Motera",45,32,7,0,140.62,"run out (RP Singh, AC Gilchrist)",1
24,2010-03-28,Chennai Super Kings,"Sardar Patel Stadium, Motera",30,16,3,2,187.5,c T Thushara b JA Morkel,1
29,2010-03-31,Delhi Daredevils,Feroz Shah Kotla,0,2,0,0,0.0,c DA Warner b MF Maharoof,1
32,2010-04-03,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",37,26,6,1,142.31,c S Anirudha b JA Morkel,1
36,2010-04-05,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha",15,10,2,1,150.0,c RJ Harris b RP Singh,1
38,2010-04-07,Kings XI Punjab,Sawai Mansingh Stadium,83,43,16,2,193.02,c PP Chawla b RS Bopara,1
45,2010-04-11,Mumbai Indians,Sawai Mansingh Stadium,8,6,2,0,133.33,c JP Duminy b DS Kulkarni,1
49,2010-04-14,Royal Challengers Bangalore,Sawai Mansingh Stadium,9,8,1,0,112.5,"run out (JH Kallis, R Vinay Kumar)",1
