match_number,date,opponent,venue,result,margin
3,2015-04-10,Kings XI Punjab,Maharashtra Cricket Association Stadium,won,by 26 runs
6,2015-04-12,Delhi Daredevils,Feroz Shah Kotla,won,by 3 wickets
9,2015-04-14,Mumbai Indians,"Sardar Patel Stadium, Motera",won,by 7 wickets
11,2015-04-16,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,won,by 6 wickets
15,2015-04-19,Chennai Super Kings,"Sardar Patel Stadium, Motera",won,by 8 wickets
18,2015-04-21,Kings XI Punjab,"Sardar Patel Stadium, Motera",no result,
22,2015-04-24,Royal Challengers Bangalore,"Sardar Patel Stadium, Motera",lost,by 9 wickets
29,2015-04-29,Royal Challengers Bangalore,M Chinnaswamy Stadium,no result,
32,2015-05-01,Mumbai Indians,Wankhede Stadium,lost,by 8 runs
36,2015-05-03,Delhi Daredevils,Brabourne Stadium,won,by 14 runs
41,2015-05-07,Sunrisers Hyderabad,Brabourne Stadium,lost,by 7 runs
47,2015-05-10,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",lost,by 12 runs
54,2015-05-16,Kolkata Knight Riders,Brabourne Stadium,won,by 9 runs
58,2015-05-20,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,lost,by 71 runs
