match_number,date,opponent,venue,result,margin
3,2020-09-21,Royal Challengers Bangalore,Dubai International Cricket Stadium,lost,by 10 runs
8,2020-09-26,Kolkata Knight Riders,Sheikh Zayed Stadium,lost,by 7 wickets
11,2020-09-29,Delhi Capitals,Sheikh Zayed Stadium,won,by 15 runs
14,2020-10-02,Chennai Super Kings,Dubai International Cricket Stadium,won,by 7 runs
17,2020-10-04,Mumbai Indians,Sharjah Cricket Stadium,lost,by 34 runs
22,2020-10-08,Kings XI Punjab,Dubai International Cricket Stadium,won,by 69 runs
26,2020-10-11,Rajasthan Royals,Dubai International Cricket Stadium,lost,by 5 wickets
29,2020-10-13,Chennai Super Kings,Dubai International Cricket Stadium,lost,by 20 runs
35,2020-10-18,Kolkata Knight Riders,Sheikh Zayed Stadium,no result,
40,2020-10-22,Rajasthan Royals,Dubai International Cricket Stadium,won,by 8 wickets
43,2020-10-24,Kings XI Punjab,Dubai International Cricket Stadium,lost,by 12 runs
47,2020-10-27,Delhi Capitals,Dubai International Cricket Stadium,won,by 88 runs
52,2020-10-31,Royal Challengers Bangalore,Sharjah Cricket Stadium,won,by 5 wickets
56,2020-11-03,Mumbai Indians,Sharjah Cricket Stadium,won,by 10 wickets
58,2020-11-06,Royal Challengers Bangalore,Sheikh Zayed Stadium,won,by 6 wickets
59,2020-11-08,Delhi Capitals,Sheikh Zayed Stadium,lost,by 17 runs
