match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
10,2010-03-18,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,1,0,0,0.0,not out,11
29,2010-03-31,Delhi Daredevils,Feroz Shah Kotla,7,5,0,1,140.0,not out,11
36,2010-04-05,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha",9,6,2,0,150.0,b DR Smith,11
53,2010-04-17,Kolkata Knight Riders,Eden Gardens,4,2,1,0,200.0,c JD Unadkat b AB Dinda,10
