match_number,date,opponent,venue,result,margin
1,2019-03-23,Royal Challengers Bangalore,MA Chidambaram Stadium,won,by 7 wickets
5,2019-03-26,Delhi Capitals,Arun Jaitley Stadium,won,by 6 wickets
12,2019-03-31,Rajasthan Royals,MA Chidambaram Stadium,won,by 8 runs
15,2019-04-03,Mumbai Indians,Wankhede Stadium,lost,by 37 runs
18,2019-04-06,Kings XI Punjab,MA Chidambaram Stadium,won,by 22 runs
23,2019-04-09,Kolkata Knight Riders,MA Chidambaram Stadium,won,by 7 wickets
25,2019-04-11,Rajasthan Royals,Sawai Mansingh Stadium,won,by 4 wickets
29,2019-04-14,Kolkata Knight Riders,Eden Gardens,won,by 5 wickets
33,2019-04-17,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,lost,by 6 wickets
39,2019-04-21,Royal Challengers Bangalore,M.Chinnaswamy Stadium,lost,by 1 runs
41,2019-04-23,Sunrisers Hyderabad,MA Chidambaram Stadium,won,by 6 wickets
44,2019-04-26,Mumbai Indians,MA Chidambaram Stadium,lost,by 46 runs
50,2019-05-01,Delhi Capitals,MA Chidambaram Stadium,won,by 80 runs
55,2019-05-05,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,lost,by 6 wickets
57,2019-05-07,Mumbai Indians,MA Chidambaram Stadium,lost,by 6 wickets
59,2019-05-10,Delhi Capitals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,won,by 6 wickets
60,2019-05-12,Mumbai Indians,Rajiv Gandhi International Stadium,lost,by 1 runs
