player,team,role,matches
J Yadav,Delhi Daredevils,bowler,2
JC Buttler,Mumbai Indians,batter,10
JD Unadkat,Rising Pune Supergiant,all-rounder,12
JJ Bumrah,Mumbai Indians,all-rounder,16
JJ Roy,Gujarat Lions,batter,3
JP Faulkner,Gujarat Lions,all-rounder,8
K Rabada,Delhi Daredevils,all-rounder,6
KA Pollard,Mumbai Indians,all-rounder,16
KC Cariappa,Kings XI Punjab,all-rounder,4
KD Karthik,Gujarat Lions,batter,13
KH Pandya,Mumbai Indians,all-rounder,13
KK Nair,Delhi Daredevils,batter,13
KM Jadhav,Royal Challengers Bangalore,batter,13
KS Williamson,Sunrisers Hyderabad,batter,7
KV Sharma,Mumbai Indians,all-rounder,9
Kuldeep Yadav,Kolkata Knight Riders,all-rounder,12
LH Ferguson,Rising Pune Supergiant,all-rounder,4
LMP Simmons,Mumbai Indians,batter,7
M Vohra,Kings XI Punjab,batter,9
MA Agarwal,Rising Pune Supergiant,batter,3
MC Henriques,Sunrisers Hyderabad,all-rounder,12
MG Johnson,Mumbai Indians,all-rounder,5
MJ Guptill,Kings XI Punjab,batter,7
MJ Henry,Kings XI Punjab,bowler,2
MJ McClenaghan,Mumbai Indians,all-rounder,14
MK Pandey,Kolkata Knight Riders,batter,12
MK Tiwary,Rising Pune Supergiant,batter,13
MM Patel,Gujarat Lions,all-rounder,2
MM Sharma,Kings XI Punjab,all-rounder,14
MN Samuels,Delhi Daredevils,all-rounder,5
MP Stoinis,Kings XI Punjab,all-rounder,5
MS Dhoni,Rising Pune Supergiant,batter,15
MS Gony,Gujarat Lions,bowler,1
Mandeep Singh,Royal Challengers Bangalore,batter,10
Mohammad Nabi,Sunrisers Hyderabad,all-rounder,3
Mohammed Shami,Delhi Daredevils,all-rounder,8
Mohammed Siraj,Sunrisers Hyderabad,bowler,6
Mustafizur Rahman,Sunrisers Hyderabad,bowler,1
N Rana,Mumbai Indians,batter,12
NB Singh,Gujarat Lions,bowler,2
NM Coulter-Nile,Kolkata Knight Riders,all-rounder,8
NV Ojha,Sunrisers Hyderabad,batter,5
P Kumar,Gujarat Lions,all-rounder,6
P Negi,Royal Challengers Bangalore,all-rounder,12
PA Patel,Mumbai Indians,batter,16
PJ Cummins,Delhi Daredevils,all-rounder,12
PJ Sangwan,Gujarat Lions,all-rounder,5
PP Chawla,Kolkata Knight Riders,all-rounder,6
R Bhatia,Rising Pune Supergiant,all-rounder,3
R Dhawan,Kolkata Knight Riders,batter,0
R Powell,Kolkata Knight Riders,batter,0
R Tewatia,Kings XI Punjab,all-rounder,3
R Vinay Kumar,Mumbai Indians,bowler,1
RA Jadeja,Gujarat Lions,all-rounder,12
RA Tripathi,Rising Pune Supergiant,all-rounder,14
RD Chahar,Rising Pune Supergiant,all-rounder,2
RG Sharma,Mumbai Indians,batter,16
RR Pant,Delhi Daredevils,batter,14
RV Uthappa,Kolkata Knight Riders,batter,13
Rashid Khan,Sunrisers Hyderabad,all-rounder,14
S Aravind,Royal Challengers Bangalore,all-rounder,10
S Badree,Royal Challengers Bangalore,all-rounder,7
S Dhawan,Sunrisers Hyderabad,batter,14
S Kaul,Sunrisers Hyderabad,all-rounder,10
S Kaushik,Gujarat Lions,bowler,3
S Nadeem,Delhi Daredevils,all-rounder,7
SA Yadav,Kolkata Knight Riders,batter,7
SB Jakati,Gujarat Lions,bowler,2
SE Marsh,Kings XI Punjab,batter,8
SK Raina,Gujarat Lions,all-rounder,14
SL Malinga,Mumbai Indians,all-rounder,12
SN Thakur,Rising Pune Supergiant,all-rounder,12
SP Jackson,Kolkata Knight Riders,batter,3
SP Narine,Kolkata Knight Riders,all-rounder,16
SPD Smith,Rising Pune Supergiant,batter,15
SR Watson,Royal Challengers Bangalore,all-rounder,8
SS Agarwal,Gujarat Lions,bowler,1
SS Iyer,Delhi Daredevils,batter,12
SS Tiwary,Mumbai Indians,batter,1
STR Binny,Royal Challengers Bangalore,all-rounder,7
SV Samson,Delhi Daredevils,batter,14
SW Billings,Delhi Daredevils,batter,6
Sachin Baby,Royal Challengers Bangalore,batter,3
Sandeep Sharma,Kings XI Punjab,all-rounder,13
Shakib Al Hasan,Kolkata Knight Riders,all-rounder,1
Swapnil Singh,Kings XI Punjab,all-rounder,4
T Natarajan,Kings XI Punjab,bowler,6
TA Boult,Kolkata Knight Riders,all-rounder,6
TG Southee,Mumbai Indians,all-rounder,3
TM Head,Royal Challengers Bangalore,all-rounder,7
TS Mills,Royal Challengers Bangalore,all-rounder,5
Tejas Baroka,Gujarat Lions,bowler,1
UT Yadav,Kolkata Knight Riders,all-rounder,14
V Kohli,Royal Challengers Bangalore,batter,10
V Shankar,Sunrisers Hyderabad,batter,4
VR Aaron,Kings XI Punjab,all-rounder,6
Vishnu Vinod,Royal Challengers Bangalore,batter,3
WP Saha,Kings XI Punjab,batter,11
Washington Sundar,Rising Pune Supergiant,all-rounder,10
YK Pathan,Kolkata Knight Riders,all-rounder,12
YS Chahal,Royal Challengers Bangalore,all-rounder,13
Yuvraj Singh,Sunrisers Hyderabad,all-rounder,11
Z Khan,Delhi Daredevils,all-rounder,11
