cricsheet_match_id,match_number,date,venue,team_1,team_2,toss_winner,toss_decision,winner,result,win_by_runs,win_by_wickets,player_of_match,team_1_score,team_2_score,team_1_overs,team_2_overs,method,target_overs,match_stage,umpire_1,umpire_2,tv_umpire,match_referee
1082591,1,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,,35,0,Yuvraj Singh,207/4,172/10,20.0,19.4,,20,league,AY Dandekar,NJ Llong,A Deshmukh,J Srinath
1082592,2,2017-04-06,Maharashtra Cricket Association Stadium,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,field,Rising Pune Supergiant,,0,7,SPD Smith,184/8,187/3,20.0,19.5,,20,league,A Nand Kishore,S Ravi,VK Sharma,M Nayyar
1082593,3,2017-04-07,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,,0,10,CA Lynn,183/4,184/0,20.0,14.5,,20,league,Nitin Menon,CK Nandan,YC Barde,V Narayan Kutty
1082594,4,2017-04-08,Holkar Cricket Stadium,Rising Pune Supergiant,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,,0,6,GJ Maxwell,163/6,164/4,20.0,19.0,,20,league,AK Chaudhary,C Shamshuddin,KN Ananthapadmanabhan,Chinmay Sharma
1082595,5,2017-04-08,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,,15,0,KM Jadhav,157/8,142/9,20.0,20.0,,20,league,S Ravi,VK Sharma,A Nand Kishore,J Srinath
1082596,6,2017-04-09,"Rajiv Gandhi International Stadium, Uppal",Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,,0,9,Rashid Khan,135/7,140/1,20.0,15.3,,20,league,A Deshmukh,NJ Llong,AY Dandekar,M Nayyar
1082597,7,2017-04-09,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,,0,4,N Rana,178/7,180/6,20.0,19.5,,20,league,Nitin Menon,CK Nandan,YC Barde,S Chaturvedi
1082598,8,2017-04-10,Holkar Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab,,0,8,AR Patel,148/4,150/2,20.0,14.3,,20,league,AK Chaudhary,C Shamshuddin,KN Ananthapadmanabhan,Chinmay Sharma
1082599,9,2017-04-11,Maharashtra Cricket Association Stadium,Delhi Daredevils,Rising Pune Supergiant,Rising Pune Supergiant,field,Delhi Daredevils,,97,0,SV Samson,205/4,108/10,20.0,16.1,,20,league,AY Dandekar,S Ravi,A Nand Kishore,J Srinath
1082600,10,2017-04-12,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,,0,4,JJ Bumrah,158/8,159/6,20.0,18.4,,20,league,Nitin Menon,CK Nandan,YC Barde,M Nayyar
1082601,11,2017-04-13,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,,0,8,SP Narine,170/9,171/2,20.0,16.3,,20,league,A Deshmukh,NJ Llong,AY Dandekar,AJ Pycroft
1082602,12,2017-04-14,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,,0,4,KA Pollard,142/5,145/6,20.0,18.5,,20,league,KN Ananthapadmanabhan,AK Chaudhary,C Shamshuddin,Chinmay Sharma
1082603,13,2017-04-14,Saurashtra Cricket Association Stadium,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,,0,7,AJ Tye,171/8,172/3,20.0,18.0,,20,league,A Nand Kishore,S Ravi,VK Sharma,J Srinath
1082604,14,2017-04-15,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,,17,0,RV Uthappa,172/6,155/6,20.0,20.0,,20,league,AY Dandekar,NJ Llong,A Deshmukh,AJ Pycroft
1082605,15,2017-04-15,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Delhi Daredevils,,51,0,CJ Anderson,188/6,137/9,20.0,20.0,,20,league,YC Barde,Nitin Menon,CK Nandan,S Chaturvedi
1082606,16,2017-04-16,Wankhede Stadium,Gujarat Lions,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,,0,6,N Rana,176/4,177/4,20.0,19.3,,20,league,A Nand Kishore,S Ravi,VK Sharma,M Nayyar
1082607,17,2017-04-16,M Chinnaswamy Stadium,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rising Pune Supergiant,,27,0,BA Stokes,161/8,134/9,20.0,20.0,,20,league,KN Ananthapadmanabhan,C Shamshuddin,AK Chaudhary,Chinmay Sharma
1082608,18,2017-04-17,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Kolkata Knight Riders,,0,4,NM Coulter-Nile,168/7,169/6,20.0,19.5,,20,league,Nitin Menon,CK Nandan,YC Barde,S Chaturvedi
1082609,19,2017-04-17,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,,5,0,B Kumar,159/6,154/10,20.0,19.4,,20,league,AY Dandekar,A Deshmukh,NJ Llong,AJ Pycroft
1082610,20,2017-04-18,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,Royal Challengers Bangalore,,21,0,CH Gayle,213/2,192/7,20.0,20.0,,20,league,S Ravi,VK Sharma,A Nand Kishore,J Srinath
1082611,21,2017-04-19,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,,15,0,KS Williamson,191/4,176/5,20.0,20.0,,20,league,CB Gaffaney,NJ Llong,AY Dandekar,M Nayyar
1082612,22,2017-04-20,Holkar Cricket Stadium,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,,0,8,JC Buttler,198/4,199/2,20.0,15.3,,20,league,M Erasmus,C Shamshuddin,AK Chaudhary,AJ Pycroft
1082613,23,2017-04-21,Eden Gardens,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,,0,4,SK Raina,187/5,188/6,20.0,18.2,,20,league,CB Gaffaney,Nitin Menon,CK Nandan,V Narayan Kutty
1082615,24,2017-04-22,Maharashtra Cricket Association Stadium,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,field,Rising Pune Supergiant,,0,6,MS Dhoni,176/3,179/4,20.0,20.0,,20,league,AY Dandekar,A Deshmukh,NJ Llong,M Nayyar
1082614,25,2017-04-22,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,,14,0,MJ McClenaghan,142/8,128/7,20.0,20.0,,20,league,A Nand Kishore,S Ravi,KN Ananthapadmanabhan,J Srinath
1082616,26,2017-04-23,Saurashtra Cricket Association Stadium,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,Kings XI Punjab,,26,0,HM Amla,188/7,162/7,20.0,20.0,,20,league,AK Chaudhary,M Erasmus,C Shamshuddin,Chinmay Sharma
1082617,27,2017-04-23,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,,82,0,NM Coulter-Nile,131/10,49/10,19.3,9.4,,20,league,CB Gaffaney,CK Nandan,Nitin Menon,V Narayan Kutty
1082618,28,2017-04-24,Wankhede Stadium,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,field,Rising Pune Supergiant,,3,0,BA Stokes,160/6,157/8,20.0,20.0,,20,league,A Nand Kishore,S Ravi,KN Ananthapadmanabhan,J Srinath
