position,team,played,won,lost,no_result,net_run_rate,points
1,Mumbai Indians,17,11,5,0,0.734,22
2,Rising Pune Supergiant,16,10,6,0,0.213,20
3,Kolkata Knight Riders,16,9,7,0,0.542,18
4,Sunrisers Hyderabad,14,8,6,0,0.406,16
5,Kings XI Punjab,14,7,7,0,-0.009,14
6,Delhi Daredevils,14,6,8,0,-0.512,12
7,Gujarat Lions,14,4,9,0,-0.412,8
8,Royal Challengers Bangalore,13,3,10,0,-1.299,6
