player,cricsheet_id
A Choudhary,18e6906e
A Deshmukh,6fda55cc
A Mishra,6b19d823
A Nand Kishore,84424f4f
A Nehra,96fd40ae
A Zampa,14f96089
AB Dinda,66b30f71
AB de Villiers,c4487b84
AD Mathews,896d78ad
AD Nath,f10e94c4
AF Milne,350bb1b1
AJ Finch,b8d490fd
AJ Pycroft,685d3f80
AJ Tye,7c7d63a2
AK Chaudhary,fdcc6236
AM Rahane,29e95537
AP Tare,855a210c
AR Bawne,afe3355a
AR Patel,2e171977
AS Rajpoot,db31895a
AT Rayudu,70d205c9
AY Dandekar,2efc430e
Ankit Sharma,24d94623
Ankit Soni,f18ba07f
Anureet Singh,69be866a
Avesh Khan,eef2536f
B Kumar,2e81a32d
B Stanlake,6834d1f2
BA Stokes,e087956b
BB McCullum,b8a55852
BB Sran,d8b2f218
BCJ Cutting,2e11c706
Basil Thampi,871e9faf
Bipul Sharma,c18496e1
C Shamshuddin,0f9d921b
C de Grandhomme,94d7f855
CA Lynn,45eda7c8
CB Gaffaney,d5ac41d8
CH Gayle,db584dad
CH Morris,fb66ce1f
CJ Anderson,8abdf100
CJ Jordan,ffe699c0
CK Nandan,012de9c4
CR Brathwaite,e342e5fb
CR Woakes,4c5d73db
Chinmay Sharma,83250fea
DA Miller,d67d5f00
DA Warner,dcce6f09
DJ Hooda,73ad96ed
DL Chahar,23eeb873
DM Bravo,14b14cd8
DR Smith,35205dfc
DS Kulkarni,d2a989fc
DT Christian,2a2e6343
EJG Morgan,d2a6c0e6
F du Plessis,3355b542
G Gambhir,bb345e0b
GJ Maxwell,b681e71e
Gurkeerat Singh,6eb146d2
HH Pandya,dbe50b21
HM Amla,e798611a
HV Patel,f986ca1a
Harbhajan Singh,8b5b6769
I Sharma,5bb1a1c4
IK Pathan,5fa06777
IR Jaggi,dded65e7
Imran Tahir,acee4cc4
Iqbal Abdulla,85aae393
Ishan Kishan,752f7486
J Srinath,bad31fac
J Suchith,4125d931
J Yadav,81049310
JC Buttler,99b75528
JD Unadkat,1e66c162
JJ Bumrah,462411b3
JJ Roy,d1c36f5c
JP Faulkner,808f425a
K Rabada,e62dd25d
K Srinivasan,042a8b69
KA Pollard,a757b0d8
KC Cariappa,edb3d4f8
KD Karthik,c03f1114
KH Pandya,5b8c830e
KK Nair,944533a5
KM Jadhav,99d63244
KN Ananthapadmanabhan,3144063a
KS Williamson,d027ba9f
KV Sharma,119678fd
Kuldeep Yadav,8d2c70ad
LH Ferguson,2f9d0389
LMP Simmons,89f64c19
M Erasmus,15d3c895
M Nayyar,b7bccddb
M Vohra,c03e2850
MA Agarwal,00ea847a
MC Henriques,32198ae0
MG Johnson,f5180fe6
MJ Guptill,2be41edb
MJ Henry,e84ac20c
MJ McClenaghan,51a3c5ef
MK Pandey,93b4fc78
MK Tiwary,26e5cabf
MM Patel,f0f628c7
MM Sharma,759ac88f
MN Samuels,f846de6a
MP Stoinis,d9273ee7
MS Dhoni,4a8a2e3b
MS Gony,ae78bc32
Mandeep Singh,c3a96caf
Mohammad Nabi,62af8546
Mohammed Shami,8cf9814c
Mohammed Siraj,2f49c897
Mustafizur Rahman,0a8fce53
N Pandit,4947c258
N Rana,fb2d1dda
NB Singh,b822e99c
NJ Llong,573fb985
NM Coulter-Nile,56ab442f
NV Ojha,890946a0
Navdeep Singh,a3e3d8a4
Nitin Menon,e1d41d9e
P Kumar,e938e1bc
P Negi,f62772e5
PA Patel,b5da6c24
PJ Cummins,ded9240e
PJ Sangwan,9fc0ef64
PP Chawla,98ae73b1
R Bhatia,33a364a6
R Dhawan,26a85969
R Pandit,8a604384
R Powell,650d5e49
R Tewatia,39a2dfa8
R Vinay Kumar,41eb4a4f
RA Jadeja,fe93fd9d
RA Tripathi,77255a9e
RD Chahar,2ed569a0
RG Sharma,740742ef
RR Pant,919a3be2
RV Uthappa,1c17e270
Rashid Khan,5f547c8b
S Aravind,957532de
S Badree,76388dc8
S Chaturvedi,c8ec02e1
S Dhawan,0a476045
S Kaul,dcf81436
S Kaushik,1da489ff
S Nadeem,9d80c5e1
S Ravi,9b9ee0df
SA Yadav,271f83cd
SB Jakati,c8179c68
SE Marsh,508a1ea7
SK Raina,1dc12ab9
SL Malinga,a12e1d51
SN Thakur,1abb78f8
SP Jackson,acc1aeda
SP Narine,9d430b40
SPD Smith,30a45b23
SR Watson,4329fbb5
SS Agarwal,b51f72a5
SS Iyer,85ec8e33
SS Tiwary,709b0bac
STR Binny,bd17b45f
SV Samson,a4cc73aa
SW Billings,c16d4035
Sachin Baby,dc9dd038
Sandeep Sharma,ce820073
Shakib Al Hasan,7dc35884
Swapnil Singh,983f2f61
T Natarajan,ce794613
TA Boult,a818c1be
TG Southee,13c35c9e
TM Head,12b610c2
TS Mills,245c97cb
Tejas Baroka,c28e9f12
UT Yadav,cc1e8c68
V Kohli,ba607b88
V Narayan Kutty,4bacee3d
V Shankar,0994d0ae
VK Sharma,a7a49df4
VR Aaron,0a3d54b9
Vishnu Vinod,0494fa6e
WP Saha,fe11caa6
Washington Sundar,f19ccfad
YC Barde,b90f3346
YK Pathan,3c6ffae8
YS Chahal,57ee1fde
Yuvraj Singh,1c914163
Z Khan,91a4a398
