match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
7,2013-04-07,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",3.0,0,14,2,4.67,9,1,0
9,2013-04-09,Sunrisers Hyderabad,M Chinnaswamy Stadium,1.0,0,18,0,18.0,1,0,0
12,2013-04-11,Kolkata Knight Riders,M Chinnaswamy Stadium,4.0,0,24,2,6.0,11,1,0
40,2013-04-29,Rajasthan Royals,Sawai Mansingh Stadium,2.0,0,6,1,3.0,7,1,0
46,2013-05-02,Pune Warriors,Subrata Roy Sahara Stadium,4.0,0,44,1,11.0,7,0,0
51,2013-05-06,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",3.0,0,29,0,9.67,6,1,0
57,2013-05-10,Delhi Daredevils,Feroz Shah Kotla,2.0,0,21,1,10.5,5,0,0
63,2013-05-14,Kings XI Punjab,M Chinnaswamy Stadium,2.1,0,29,0,13.38,4,1,0
