match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
5,2024-03-24,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",1,3,0,0,33.33,c & b SH Johnson,8
14,2024-04-01,Rajasthan Royals,"Wankhede Stadium, Mumbai",4,9,0,0,44.44,c SO Hetmyer b YS Chahal,9
38,2024-04-22,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",0,1,0,0,0.0,c SO Hetmyer b Sandeep Sharma,9
48,2024-04-30,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,2,0,0,50.0,not out,9
51,2024-05-03,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",8,7,0,1,114.29,b MA Starc,9
