match_number,date,opponent,venue,result,margin
2,2008-04-19,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",lost,by 33 runs
6,2008-04-21,Rajasthan Royals,Sawai Mansingh Stadium,lost,by 6 wickets
10,2008-04-25,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",won,by 66 runs
13,2008-04-27,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",won,by 4 wickets
19,2008-05-01,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",won,by 7 wickets
22,2008-05-03,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",won,by 9 runs
25,2008-05-05,Royal Challengers Bangalore,M Chinnaswamy Stadium,won,by 6 wickets
31,2008-05-10,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",lost,by 18 runs
34,2008-05-12,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",won,by 9 wickets
40,2008-05-17,Delhi Daredevils,Feroz Shah Kotla,won,by 6 runs
45,2008-05-21,Mumbai Indians,Wankhede Stadium,won,by 1 runs
48,2008-05-23,Deccan Chargers,"Punjab Cricket Association Stadium, Mohali",won,by 6 wickets
52,2008-05-25,Kolkata Knight Riders,Eden Gardens,lost,by 3 wickets
56,2008-05-28,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",won,by 41 runs
58,2008-05-31,Chennai Super Kings,Wankhede Stadium,lost,by 9 wickets
