match_number,date,opponent,venue,result,margin
4,2018-04-09,Rajasthan Royals,Rajiv Gandhi International Stadium,won,by 9 wickets
7,2018-04-12,Mumbai Indians,Rajiv Gandhi International Stadium,won,by 1 wickets
10,2018-04-14,Kolkata Knight Riders,Eden Gardens,won,by 5 wickets
16,2018-04-19,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,lost,by 15 runs
20,2018-04-22,Chennai Super Kings,Rajiv Gandhi International Stadium,lost,by 4 runs
23,2018-04-24,Mumbai Indians,Wankhede Stadium,won,by 31 runs
25,2018-04-26,Kings XI Punjab,Rajiv Gandhi International Stadium,won,by 13 runs
28,2018-04-29,Rajasthan Royals,Sawai Mansingh Stadium,won,by 11 runs
36,2018-05-05,Delhi Daredevils,Rajiv Gandhi International Stadium,won,by 7 wickets
39,2018-05-07,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,won,by 5 runs
42,2018-05-10,Delhi Daredevils,Arun Jaitley Stadium,won,by 9 wickets
46,2018-05-13,Chennai Super Kings,Maharashtra Cricket Association Stadium,lost,by 8 wickets
51,2018-05-17,Royal Challengers Bangalore,M.Chinnaswamy Stadium,lost,by 14 runs
54,2018-05-19,Kolkata Knight Riders,Rajiv Gandhi International Stadium,lost,by 5 wickets
57,2018-05-22,Chennai Super Kings,Wankhede Stadium,lost,by 2 wickets
59,2018-05-25,Kolkata Knight Riders,Eden Gardens,won,by 14 runs
60,2018-05-27,Chennai Super Kings,Wankhede Stadium,lost,by 8 wickets
