position,team,played,won,lost,no_result,net_run_rate,points
1,Rajasthan Royals,16,13,3,0,0.894,26
2,Kings XI Punjab,15,10,5,0,0.29,20
3,Chennai Super Kings,16,9,7,0,0.008,18
4,Mumbai Indians,14,7,7,0,0.575,14
5,Delhi Daredevils,14,7,7,0,-0.079,14
6,Kolkata Knight Riders,13,6,7,0,-0.125,12
7,Royal Challengers Bangalore,14,4,10,0,-1.16,8
8,Deccan Chargers,14,2,12,0,-0.472,4
