player,team,role,matches
A Chopra,Kolkata Knight Riders,batter,5
A Kumble,Royal Challengers Bangalore,all-rounder,10
A Mishra,Delhi Daredevils,all-rounder,6
A Mukund,Chennai Super Kings,batter,1
A Nehra,Mumbai Indians,all-rounder,14
A Nel,Mumbai Indians,all-rounder,1
A Symonds,Deccan Chargers,all-rounder,3
AA Noffke,Royal Challengers Bangalore,all-rounder,1
AB Agarkar,Kolkata Knight Riders,all-rounder,9
AB Dinda,Kolkata Knight Riders,all-rounder,13
AB de Villiers,Delhi Daredevils,batter,6
AC Gilchrist,Deccan Chargers,batter,14
AD Mascarenhas,Rajasthan Royals,all-rounder,1
AM Nayar,Mumbai Indians,all-rounder,10
AM Rahane,Mumbai Indians,batter,2
AS Yadav,Deccan Chargers,batter,6
Abdur Razzak,Royal Challengers Bangalore,all-rounder,1
B Akhil,Royal Challengers Bangalore,all-rounder,7
B Chipli,Royal Challengers Bangalore,batter,3
B Geeves,Delhi Daredevils,bowler,2
B Lee,Kings XI Punjab,all-rounder,4
BAW Mendis,Kolkata Knight Riders,bowler,1
BB McCullum,Kolkata Knight Riders,batter,4
BJ Hodge,Kolkata Knight Riders,batter,3
CK Kapugedera,Chennai Super Kings,all-rounder,4
CL White,Royal Challengers Bangalore,all-rounder,8
CRD Fernando,Mumbai Indians,all-rounder,5
D Kalyankrishna,Deccan Chargers,all-rounder,3
D Salunkhe,Rajasthan Royals,all-rounder,5
DB Das,Kolkata Knight Riders,batter,6
DB Ravi Teja,Deccan Chargers,all-rounder,6
DJ Bravo,Mumbai Indians,all-rounder,9
DJ Hussey,Kolkata Knight Riders,all-rounder,13
DJ Thornely,Mumbai Indians,all-rounder,5
DL Vettori,Delhi Daredevils,bowler,2
DNT Zoysa,Deccan Chargers,all-rounder,3
DP Vijaykumar,Deccan Chargers,all-rounder,9
DPMD Jayawardene,Kings XI Punjab,batter,12
DR Smith,Mumbai Indians,all-rounder,4
DS Kulkarni,Mumbai Indians,all-rounder,10
DS Lehmann,Rajasthan Royals,batter,2
DT Patil,Royal Challengers Bangalore,batter,2
DW Steyn,Royal Challengers Bangalore,all-rounder,10
G Gambhir,Delhi Daredevils,batter,14
GC Smith,Rajasthan Royals,batter,11
GD McGrath,Delhi Daredevils,all-rounder,14
Gagandeep Singh,Kings XI Punjab,bowler,4
H Das,Deccan Chargers,batter,1
HH Gibbs,Deccan Chargers,batter,9
Harbhajan Singh,Mumbai Indians,all-rounder,3
I Sharma,Kolkata Knight Riders,all-rounder,13
IK Pathan,Kings XI Punjab,all-rounder,14
Iqbal Abdulla,Kolkata Knight Riders,all-rounder,1
J Arunkumar,Royal Challengers Bangalore,batter,3
JA Morkel,Chennai Super Kings,all-rounder,13
JDP Oram,Chennai Super Kings,all-rounder,4
JH Kallis,Royal Challengers Bangalore,all-rounder,11
JR Hopes,Kings XI Punjab,all-rounder,11
Joginder Sharma,Chennai Super Kings,all-rounder,8
K Goel,Kings XI Punjab,all-rounder,6
KC Sangakkara,Kings XI Punjab,batter,9
KD Karthik,Delhi Daredevils,batter,8
Kamran Akmal,Rajasthan Royals,batter,6
L Balaji,Chennai Super Kings,all-rounder,9
L Ronchi,Mumbai Indians,batter,4
LA Pomersbach,Kings XI Punjab,batter,5
LPC Silva,Deccan Chargers,all-rounder,3
LR Shukla,Kolkata Knight Riders,all-rounder,13
LRPL Taylor,Royal Challengers Bangalore,batter,4
M Kaif,Rajasthan Royals,batter,14
M Kartik,Kolkata Knight Riders,all-rounder,5
M Manhas,Delhi Daredevils,batter,0
M Muralitharan,Chennai Super Kings,all-rounder,15
M Ntini,Chennai Super Kings,all-rounder,9
M Rawat,Rajasthan Royals,batter,7
MA Khote,Mumbai Indians,all-rounder,3
MEK Hussey,Chennai Super Kings,batter,3
MF Maharoof,Delhi Daredevils,all-rounder,10
MK Pandey,Mumbai Indians,batter,2
MK Tiwary,Delhi Daredevils,batter,7
ML Hayden,Chennai Super Kings,batter,4
MM Patel,Rajasthan Royals,all-rounder,15
MS Dhoni,Chennai Super Kings,batter,14
MS Gony,Chennai Super Kings,all-rounder,16
MV Boucher,Royal Challengers Bangalore,batter,10
Misbah-ul-Haq,Royal Challengers Bangalore,batter,8
Mohammad Asif,Delhi Daredevils,all-rounder,8
Mohammad Hafeez,Kolkata Knight Riders,all-rounder,8
NK Patel,Rajasthan Royals,batter,4
P Amarnath,Chennai Super Kings,bowler,6
P Kumar,Royal Challengers Bangalore,all-rounder,13
PA Patel,Chennai Super Kings,batter,13
PJ Sangwan,Delhi Daredevils,all-rounder,7
PM Sarvesh Kumar,Deccan Chargers,all-rounder,2
PP Chawla,Kings XI Punjab,all-rounder,15
PP Ojha,Deccan Chargers,all-rounder,12
PR Shah,Mumbai Indians,batter,4
Pankaj Singh,Rajasthan Royals,all-rounder,5
R Bhatia,Delhi Daredevils,all-rounder,9
R Dravid,Royal Challengers Bangalore,batter,14
R Vinay Kumar,Royal Challengers Bangalore,all-rounder,8
RA Jadeja,Rajasthan Royals,all-rounder,10
RG Sharma,Deccan Chargers,all-rounder,12
RP Singh,Deccan Chargers,all-rounder,14
RR Powar,Kings XI Punjab,all-rounder,5
RR Raje,Mumbai Indians,all-rounder,6
RR Sarwan,Kings XI Punjab,batter,4
RT Ponting,Kolkata Knight Riders,batter,4
RV Uthappa,Mumbai Indians,batter,14
S Anirudha,Chennai Super Kings,batter,1
S Badrinath,Chennai Super Kings,batter,11
S Chanderpaul,Royal Challengers Bangalore,batter,3
S Dhawan,Delhi Daredevils,batter,14
S Sohal,Kings XI Punjab,batter,2
S Sreesanth,Kings XI Punjab,all-rounder,15
S Vidyut,Chennai Super Kings,all-rounder,8
SA Asnodkar,Rajasthan Royals,batter,9
SB Bangar,Deccan Chargers,all-rounder,9
SB Joshi,Royal Challengers Bangalore,all-rounder,4
SB Styris,Deccan Chargers,all-rounder,8
SC Ganguly,Kolkata Knight Riders,all-rounder,13
SD Chitnis,Mumbai Indians,all-rounder,3
SE Marsh,Kings XI Punjab,batter,11
SK Raina,Chennai Super Kings,all-rounder,14
SK Trivedi,Rajasthan Royals,all-rounder,15
SK Warne,Rajasthan Royals,all-rounder,15
SM Katich,Kings XI Punjab,batter,2
SM Pollock,Mumbai Indians,all-rounder,13
SP Fleming,Chennai Super Kings,batter,10
SP Goswami,Royal Challengers Bangalore,batter,3
SR Tendulkar,Mumbai Indians,batter,7
SR Watson,Rajasthan Royals,all-rounder,15
SS Tiwary,Mumbai Indians,batter,2
ST Jayasuriya,Mumbai Indians,all-rounder,14
Salman Butt,Kolkata Knight Riders,batter,7
Shahid Afridi,Deccan Chargers,all-rounder,10
Shoaib Akhtar,Kolkata Knight Riders,all-rounder,3
Shoaib Malik,Delhi Daredevils,all-rounder,6
Sohail Tanvir,Rajasthan Royals,all-rounder,11
T Kohli,Rajasthan Royals,batter,2
T Taibu,Kolkata Knight Riders,batter,3
TM Dilshan,Delhi Daredevils,all-rounder,7
TM Srivastava,Kings XI Punjab,batter,2
U Kaul,Kings XI Punjab,batter,1
