match_number,date,opponent,venue,result,margin
1,2011-04-08,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",lost,by 2 runs
6,2011-04-11,Deccan Chargers,Eden Gardens,won,by 9 runs
12,2011-04-15,Rajasthan Royals,Sawai Mansingh Stadium,won,by 9 wickets
17,2011-04-17,Rajasthan Royals,Eden Gardens,won,by 8 wickets
22,2011-04-20,Kochi Tuskers Kerala,Eden Gardens,lost,by 6 runs
24,2011-04-22,Royal Challengers Bangalore,Eden Gardens,lost,by 9 wickets
33,2011-04-28,Delhi Daredevils,Feroz Shah Kotla,won,by 17 runs
37,2011-04-30,Kings XI Punjab,Eden Gardens,won,by 8 wickets
42,2011-05-03,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",won,by 20 runs
45,2011-05-05,Kochi Tuskers Kerala,Nehru Stadium,lost,by 17 runs
48,2011-05-07,Chennai Super Kings,Eden Gardens,won,by 10 runs
58,2011-05-14,Royal Challengers Bangalore,M Chinnaswamy Stadium,lost,by 4 wickets
65,2011-05-19,Pune Warriors,Dr DY Patil Sports Academy,won,by 7 wickets
70,2011-05-22,Mumbai Indians,Eden Gardens,lost,by 5 wickets
72,2011-05-25,Mumbai Indians,Wankhede Stadium,lost,by 4 wickets
