innings,team,wicket_number,player_out,score,over
1,Kochi Tuskers Kerala,1,BB McCullum,0,1.1
1,Kochi Tuskers Kerala,2,VVS Laxman,11,3.2
1,Kochi Tuskers Kerala,3,DPMD Jayawardene,13,3.5
1,Kochi Tuskers Kerala,4,PA Patel,24,5.5
1,Kochi Tuskers Kerala,5,BJ Hodge,112,16.2
1,Kochi Tuskers Kerala,6,RA Jadeja,113,17.1
1,Kochi Tuskers Kerala,7,R Vinay Kumar,117,17.6
1,Kochi Tuskers Kerala,8,S Sreesanth,147,20.5
2,Pune Warriors,1,JD Ryder,31,4.4
2,Pune Warriors,2,GC Smith,54,8.4
2,Pune Warriors,3,M Manhas,61,10.5
2,Pune Warriors,4,Yuvraj Singh,73,12.2
2,Pune Warriors,5,RV Uthappa,115,15.4
2,Pune Warriors,6,WD Parnell,118,16.4
