match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
7,2023-04-04,Gujarat Titans,"Arun Jaitley Stadium, Delhi",4.0,0,39,2,9.75,8,0,2
11,2023-04-08,Rajasthan Royals,"Barsapara Cricket Stadium, Guwahati",4.0,0,44,0,11.0,10,0,0
16,2023-04-11,Mumbai Indians,"Arun Jaitley Stadium, Delhi",4.0,0,35,0,8.75,8,0,0
20,2023-04-15,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",4.0,0,31,0,7.75,6,2,1
28,2023-04-20,Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi",4.0,0,20,2,5.0,15,2,0
34,2023-04-24,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",4.0,0,33,2,8.25,10,0,0
40,2023-04-29,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",4.0,0,44,0,11.0,4,2,0
44,2023-05-02,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",4.0,0,39,1,9.75,11,2,0
64,2023-05-17,Punjab Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",4.0,0,36,2,9.0,10,0,0
67,2023-05-20,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",4.0,0,43,1,10.75,8,0,0
