match_number,date,opponent,venue,result,margin
2,2014-04-17,Delhi Daredevils,Sharjah Cricket Stadium,won,by 8 wickets
5,2014-04-19,Mumbai Indians,Dubai International Cricket Stadium,won,by 7 wickets
11,2014-04-24,Kolkata Knight Riders,Sharjah Cricket Stadium,lost,by 2 runs
14,2014-04-26,Rajasthan Royals,Sheikh Zayed Stadium,lost,by 6 wickets
18,2014-04-28,Kings XI Punjab,Dubai International Cricket Stadium,lost,by 5 wickets
24,2014-05-04,Sunrisers Hyderabad,M Chinnaswamy Stadium,won,by 4 wickets
27,2014-05-06,Mumbai Indians,Wankhede Stadium,lost,by 19 runs
31,2014-05-09,Kings XI Punjab,M Chinnaswamy Stadium,lost,by 32 runs
35,2014-05-11,Rajasthan Royals,M Chinnaswamy Stadium,lost,by 5 wickets
38,2014-05-13,Delhi Daredevils,M Chinnaswamy Stadium,won,by 16 runs
42,2014-05-18,Chennai Super Kings,JSCA International Stadium Complex,won,by 5 wickets
46,2014-05-20,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",lost,by 7 wickets
49,2014-05-22,Kolkata Knight Riders,Eden Gardens,lost,by 30 runs
53,2014-05-24,Chennai Super Kings,M Chinnaswamy Stadium,lost,by 8 wickets
