match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
12,2014-04-25,Sunrisers Hyderabad,Dubai International Cricket Stadium,16,17,1,1,94.12,c DJG Sammy b DW Steyn,3
16,2014-04-27,Mumbai Indians,Sharjah Cricket Stadium,26,18,2,1,144.44,not out,4
23,2014-05-03,Rajasthan Royals,Feroz Shah Kotla,14,15,2,0,93.33,c SPD Smith b PV Tambe,3
26,2014-05-05,Chennai Super Kings,Feroz Shah Kotla,0,1,0,0,0.0,b MM Sharma,3
28,2014-05-07,Kolkata Knight Riders,Feroz Shah Kotla,6,12,1,0,50.0,run out (RV Uthappa),3
32,2014-05-10,Sunrisers Hyderabad,Feroz Shah Kotla,35,19,4,2,184.21,c S Dhawan b A Mishra,2
38,2014-05-13,Royal Challengers Bangalore,M Chinnaswamy Stadium,33,29,2,1,113.79,st PA Patel b YS Chahal,4
41,2014-05-15,Rajasthan Royals,"Sardar Patel Stadium, Motera",13,18,1,0,72.22,b R Bhatia,1
45,2014-05-19,Kings XI Punjab,Feroz Shah Kotla,49,32,6,1,153.12,b AR Patel,2
51,2014-05-23,Mumbai Indians,Wankhede Stadium,44,31,6,1,141.94,b Harbhajan Singh,2
55,2014-05-25,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",58,41,9,0,141.46,lbw b R Dhawan,1
