match_number,date,opponent,catches,stumpings,run_outs
2,2008-04-19,Kings XI Punjab,2,0,0
8,2008-04-23,Mumbai Indians,1,0,0
11,2008-04-26,Kolkata Knight Riders,1,0,1
15,2008-04-28,Royal Challengers Bangalore,0,0,1
