innings,team,wicket_number,player_out,score,over
1,Delhi Capitals,1,PP Shaw,5,2.6
1,Delhi Capitals,2,S Dhawan,16,4.1
1,Delhi Capitals,3,AM Rahane,36,6.5
1,Delhi Capitals,4,MP Stoinis,37,7.5
1,Delhi Capitals,5,RR Pant,88,13.4
1,Delhi Capitals,6,Lalit Yadav,100,15.5
1,Delhi Capitals,7,TK Curran,128,19.2
1,Delhi Capitals,8,R Ashwin,136,19.6
2,Rajasthan Royals,1,M Vohra,13,3.4
2,Rajasthan Royals,2,JC Buttler,13,3.6
2,Rajasthan Royals,3,SV Samson,17,4.3
2,Rajasthan Royals,4,S Dube,36,8.4
2,Rajasthan Royals,5,R Parag,42,10.2
2,Rajasthan Royals,6,R Tewatia,90,15.5
2,Rajasthan Royals,7,DA Miller,104,16.5
