match_number,date,opponent,venue,result,margin
3,2018-04-08,Kolkata Knight Riders,Eden Gardens,lost,by 4 wickets
8,2018-04-13,Kings XI Punjab,M.Chinnaswamy Stadium,won,by 4 wickets
11,2018-04-15,Rajasthan Royals,M.Chinnaswamy Stadium,lost,by 19 runs
14,2018-04-17,Mumbai Indians,Wankhede Stadium,lost,by 46 runs
19,2018-04-21,Delhi Daredevils,M.Chinnaswamy Stadium,won,by 6 wickets
24,2018-04-25,Chennai Super Kings,M.Chinnaswamy Stadium,lost,by 5 wickets
29,2018-04-29,Kolkata Knight Riders,M.Chinnaswamy Stadium,lost,by 6 wickets
31,2018-05-01,Mumbai Indians,M.Chinnaswamy Stadium,won,by 14 runs
35,2018-05-05,Chennai Super Kings,Maharashtra Cricket Association Stadium,lost,by 6 wickets
39,2018-05-07,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,lost,by 5 runs
45,2018-05-12,Delhi Daredevils,Arun Jaitley Stadium,won,by 5 wickets
48,2018-05-14,Kings XI Punjab,Holkar Cricket Stadium,won,by 10 wickets
51,2018-05-17,Sunrisers Hyderabad,M.Chinnaswamy Stadium,won,by 14 runs
53,2018-05-19,Rajasthan Royals,Sawai Mansingh Stadium,lost,by 30 runs
