innings,team,wicket_number,player_out,score,over
1,Delhi Daredevils,1,V Sehwag,11,2.4
1,Delhi Daredevils,2,S Dhawan,12,3.3
1,Delhi Daredevils,3,G Gambhir,45,6.6
1,Delhi Daredevils,4,Shoaib Malik,54,8.1
1,Delhi Daredevils,5,KD Karthik,88,12.6
1,Delhi Daredevils,6,R Bhatia,125,17.3
1,Delhi Daredevils,7,MK Tiwary,139,18.5
1,Delhi Daredevils,8,MF Maharoof,158,20.6
2,Kings XI Punjab,1,K Goel,2,1.6
2,Kings XI Punjab,2,KC Sangakkara,11,2.6
2,Kings XI Punjab,3,DPMD Jayawardene,69,8.5
2,Kings XI Punjab,4,SM Katich,119,14.6
2,Kings XI Punjab,5,TM Srivastava,141,17.4
2,Kings XI Punjab,6,IK Pathan,155,18.6
