innings,team,wicket_number,player_out,score,over
1,Lucknow Super Giants,1,KL Rahul,2,1.5
1,Lucknow Super Giants,2,Q de Kock,73,8.2
1,Lucknow Super Giants,3,DJ Hooda,107,13.4
1,Lucknow Super Giants,4,KH Pandya,122,15.5
1,Lucknow Super Giants,5,MP Stoinis,160,19.4
1,Lucknow Super Giants,6,JO Holder,175,20.4
1,Lucknow Super Giants,7,PVD Chameera,176,20.6
2,Kolkata Knight Riders,1,B Indrajith,0,1.6
2,Kolkata Knight Riders,2,SS Iyer,11,4.4
2,Kolkata Knight Riders,3,AJ Finch,23,6.4
2,Kolkata Knight Riders,4,N Rana,25,7.5
2,Kolkata Knight Riders,5,RK Singh,69,12.1
2,Kolkata Knight Riders,6,AD Russell,85,13.2
2,Kolkata Knight Riders,7,AS Roy,85,13.4
2,Kolkata Knight Riders,8,SP Narine,99,15.1
2,Kolkata Knight Riders,9,TG Southee,99,15.2
2,Kolkata Knight Riders,10,Harshit Rana,101,15.3
