innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
2,13,4,Kolkata Knight Riders,AS Roy,Avesh Khan,MA Gough,,struck down,False
2,14,6,Lucknow Super Giants,Shivam Mavi,Ravi Bishnoi,AK Chaudhary,,struck down,False
