match_number,date,opponent,venue,result,margin
1,2012-04-04,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",lost,by 8 wickets
6,2012-04-07,Deccan Chargers,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,won,by 74 runs
11,2012-04-10,Delhi Daredevils,Feroz Shah Kotla,lost,by 8 wickets
13,2012-04-12,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",won,by 5 wickets
16,2012-04-14,Pune Warriors,Subrata Roy Sahara Stadium,lost,by 7 wickets
24,2012-04-19,Pune Warriors,"MA Chidambaram Stadium, Chepauk",won,by 13 runs
26,2012-04-21,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",won,by 7 wickets
37,2012-04-28,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",lost,by 7 runs
41,2012-04-30,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",lost,by 5 wickets
46,2012-05-04,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",won,by 10 runs
49,2012-05-06,Mumbai Indians,Wankhede Stadium,lost,by 2 wickets
56,2012-05-10,Rajasthan Royals,Sawai Mansingh Stadium,won,by 4 wickets
59,2012-05-12,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",won,by 9 wickets
63,2012-05-14,Kolkata Knight Riders,Eden Gardens,won,by 5 wickets
66,2012-05-17,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,lost,by 6 wickets
74,2012-05-23,Mumbai Indians,M Chinnaswamy Stadium,won,by 38 runs
75,2012-05-25,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",won,by 86 runs
76,2012-05-27,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",lost,by 5 wickets
