match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,2012-04-04,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",3,2,0,0,150.0,run out (AT Rayudu),1
6,2012-04-07,Deccan Chargers,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,39,25,1,4,156.0,c DT Christian b TP Sudhindra,2
11,2012-04-10,Delhi Daredevils,Feroz Shah Kotla,15,12,3,0,125.0,c RE van der Merwe b M Morkel,1
13,2012-04-12,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",71,46,5,4,154.35,c V Kohli b M Muralitharan,2
16,2012-04-14,Pune Warriors,Subrata Roy Sahara Stadium,43,33,5,2,130.3,st RV Uthappa b R Sharma,1
24,2012-04-19,Pune Warriors,"MA Chidambaram Stadium, Chepauk",58,48,4,2,120.83,c AD Mathews b MN Samuels,1
26,2012-04-21,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",73,52,6,2,140.38,c SP Goswami b KK Cooper,2
37,2012-04-28,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",29,20,3,2,145.0,c & b Azhar Mahmood,1
41,2012-04-30,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",3,4,0,0,75.0,c BB McCullum b B Lee,1
46,2012-05-04,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",42,35,2,1,120.0,c S Dhawan b V Pratap Singh,1
49,2012-05-06,Mumbai Indians,Wankhede Stadium,9,11,0,0,81.82,run out (RP Singh),2
63,2012-05-14,Kolkata Knight Riders,Eden Gardens,13,16,0,0,81.25,c MK Tiwary b R Bhatia,4
