innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Lucknow Super Giants,1,MR Marsh,20,16,AK Markram,12,8,0,32,24
1,Lucknow Super Giants,2,N Pooran,1,7,MR Marsh,1,2,0,2,9
1,Lucknow Super Giants,3,A Badoni,15,9,MR Marsh,18,13,3,36,22
1,Lucknow Super Giants,4,Abdul Samad,0,2,A Badoni,12,7,0,12,9
1,Lucknow Super Giants,5,MD Choudhary,24,19,A Badoni,11,8,0,35,27
1,Lucknow Super Giants,6,RR Pant,1,3,MD Choudhary,4,3,1,6,6
1,Lucknow Super Giants,7,GF Linde,7,7,MD Choudhary,4,3,2,13,10
1,Lucknow Super Giants,8,Mohammed Shami,0,1,MD Choudhary,0,0,0,0,1
1,Lucknow Super Giants,9,Avesh Khan,1,1,MD Choudhary,7,3,0,8,4
1,Lucknow Super Giants,10,DS Rathi,0,3,Avesh Khan,0,1,1,1,4
2,Royal Challengers Bengaluru,1,PD Salt,7,8,V Kohli,2,2,0,9,10
2,Royal Challengers Bengaluru,2,D Padikkal,10,11,V Kohli,42,23,5,57,34
2,Royal Challengers Bengaluru,3,RM Patidar,15,8,V Kohli,5,9,0,20,17
2,Royal Challengers Bengaluru,4,JM Sharma,23,8,RM Patidar,12,5,0,35,13
2,Royal Challengers Bengaluru,5,TH David,1,1,JM Sharma,0,1,0,1,2
2,Royal Challengers Bengaluru,6,R Shepherd,14,8,TH David,13,7,0,27,15
