match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
4,2022-03-28,Gujarat Titans,"Wankhede Stadium, Mumbai",7,9,1,0,77.78,b Mohammed Shami,2
7,2022-03-31,Chennai Super Kings,"Brabourne Stadium, Mumbai",61,45,9,0,135.56,c MS Dhoni b D Pretorius,2
12,2022-04-04,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",1,4,0,0,25.0,c KS Williamson b Washington Sundar,2
15,2022-04-07,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",80,52,9,2,153.85,c SN Khan b Kuldeep Yadav,2
20,2022-04-10,Rajasthan Royals,"Wankhede Stadium, Mumbai",39,32,2,1,121.88,c R Parag b YS Chahal,2
26,2022-04-16,Mumbai Indians,"Brabourne Stadium, Mumbai",24,13,4,1,184.62,lbw b FA Allen,2
31,2022-04-19,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",3,5,0,0,60.0,c GJ Maxwell b JR Hazlewood,1
37,2022-04-24,Mumbai Indians,"Wankhede Stadium, Mumbai",10,9,0,1,111.11,c RG Sharma b JJ Bumrah,1
42,2022-04-29,Punjab Kings,"Maharashtra Cricket Association Stadium, Pune",46,37,4,2,124.32,c JM Sharma b Sandeep Sharma,1
45,2022-05-01,Delhi Capitals,"Wankhede Stadium, Mumbai",23,13,3,1,176.92,c Lalit Yadav b SN Thakur,1
53,2022-05-07,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",50,29,4,3,172.41,c Shivam Mavi b SP Narine,1
57,2022-05-10,Gujarat Titans,"Maharashtra Cricket Association Stadium, Pune",11,10,0,1,110.0,c R Sai Kishore b Yash Dayal,1
63,2022-05-15,Rajasthan Royals,"Brabourne Stadium, Mumbai",7,8,1,0,87.5,c JDS Neesham b TA Boult,1
66,2022-05-18,Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",140,70,10,10,200.0,not out,1
72,2022-05-25,Royal Challengers Bangalore,"Eden Gardens, Kolkata",6,5,0,1,120.0,c F du Plessis b Mohammed Siraj,1
