position,team,played,won,lost,no_result,net_run_rate,points
1,Chennai Super Kings,16,11,5,0,0.496,22
2,Kolkata Knight Riders,17,9,8,0,0.413,18
3,Delhi Capitals,16,9,6,0,0.4,18
4,Royal Challengers Bangalore,15,9,6,0,-0.142,18
5,Mumbai Indians,14,7,7,0,0.116,14
6,Punjab Kings,14,6,8,0,-0.001,12
7,Rajasthan Royals,14,5,9,0,-0.993,10
8,Sunrisers Hyderabad,14,3,10,0,-0.545,6
