cricsheet_match_id,match_number,date,venue,team_1,team_2,toss_winner,toss_decision,winner,result,win_by_runs,win_by_wickets,player_of_match,team_1_score,team_2_score,team_1_overs,team_2_overs,method,target_overs,match_stage,umpire_1,umpire_2,tv_umpire,match_referee
1254058,1,2021-04-09,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,,0,2,HV Patel,159/9,160/8,20.0,20.0,,20,league,KN Ananthapadmanabhan,Nitin Menon,C Shamshuddin,V Narayan Kutty
1254059,2,2021-04-10,"Wankhede Stadium, Mumbai",Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,,0,7,S Dhawan,188/7,190/3,20.0,18.4,,20,league,AK Chaudhary,VK Sharma,S Ravi,M Nayyar
1254060,3,2021-04-11,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,,10,0,N Rana,187/6,177/5,20.0,20.0,,20,league,KN Ananthapadmanabhan,Nitin Menon,CB Gaffaney,V Narayan Kutty
1254061,4,2021-04-12,"Wankhede Stadium, Mumbai",Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Punjab Kings,,4,0,SV Samson,221/6,217/7,20.0,20.0,,20,league,AK Chaudhary,S Ravi,VK Sharma,M Nayyar
1254062,5,2021-04-13,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,,10,0,RD Chahar,152/10,142/7,20.0,20.0,,20,league,C Shamshuddin,CB Gaffaney,KN Ananthapadmanabhan,S Chaturvedi
1254063,6,2021-04-14,"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,,6,0,GJ Maxwell,149/8,143/9,20.0,20.0,,20,league,Nitin Menon,UV Gandhe,C Shamshuddin,V Narayan Kutty
1254064,7,2021-04-15,"Wankhede Stadium, Mumbai",Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,,0,3,JD Unadkat,147/8,150/7,20.0,19.4,,20,league,S Ravi,VK Sharma,AK Chaudhary,Shakti Singh
1254065,8,2021-04-16,"Wankhede Stadium, Mumbai",Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,,0,6,DL Chahar,106/8,107/4,20.0,15.4,,20,league,AK Chaudhary,AY Dandekar,VK Sharma,Prakash Bhatt
1254066,9,2021-04-17,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,,13,0,KA Pollard,150/5,137/10,20.0,19.4,,20,league,CB Gaffaney,K Srinivasan,KN Ananthapadmanabhan,S Chaturvedi
1254067,10,2021-04-18,"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,,38,0,AB de Villiers,204/4,166/8,20.0,20.0,,20,league,C Shamshuddin,Nitin Menon,CB Gaffaney,V Narayan Kutty
