player,team,role,matches
A Mishra,Delhi Capitals,bowler,4
A Nortje,Delhi Capitals,bowler,8
AB de Villiers,Royal Challengers Bangalore,batter,14
AD Russell,Kolkata Knight Riders,all-rounder,10
AF Milne,Mumbai Indians,all-rounder,4
AK Markram,Punjab Kings,all-rounder,6
AM Rahane,Delhi Capitals,batter,1
AR Patel,Delhi Capitals,all-rounder,12
AS Roy,Mumbai Indians,batter,0
AT Rayudu,Chennai Super Kings,batter,13
AU Rashid,Punjab Kings,bowler,1
Abdul Samad,Sunrisers Hyderabad,all-rounder,10
Abhishek Sharma,Sunrisers Hyderabad,all-rounder,8
Akash Singh,Rajasthan Royals,bowler,1
Anmolpreet Singh,Mumbai Indians,batter,1
Anuj Rawat,Rajasthan Royals,batter,1
Arshdeep Singh,Punjab Kings,all-rounder,12
Avesh Khan,Delhi Capitals,all-rounder,16
B Kumar,Sunrisers Hyderabad,all-rounder,11
BA Stokes,Rajasthan Royals,all-rounder,1
C Sakariya,Rajasthan Royals,all-rounder,14
CA Lynn,Mumbai Indians,batter,1
CH Gayle,Punjab Kings,batter,10
CH Morris,Rajasthan Royals,all-rounder,11
CJ Jordan,Punjab Kings,all-rounder,4
CR Woakes,Delhi Capitals,all-rounder,3
CV Varun,Kolkata Knight Riders,all-rounder,17
D Padikkal,Royal Challengers Bangalore,batter,14
DA Miller,Rajasthan Royals,batter,8
DA Warner,Sunrisers Hyderabad,batter,8
DJ Bravo,Chennai Super Kings,all-rounder,11
DJ Hooda,Punjab Kings,all-rounder,12
DJ Malan,Punjab Kings,batter,1
DL Chahar,Chennai Super Kings,all-rounder,15
DR Sams,Royal Challengers Bangalore,all-rounder,2
DS Kulkarni,Mumbai Indians,bowler,1
DT Christian,Royal Challengers Bangalore,all-rounder,9
E Lewis,Rajasthan Royals,batter,5
EJG Morgan,Kolkata Knight Riders,batter,16
F du Plessis,Chennai Super Kings,batter,16
FA Allen,Punjab Kings,all-rounder,4
GD Phillips,Rajasthan Royals,all-rounder,3
GHS Garton,Royal Challengers Bangalore,all-rounder,5
GJ Maxwell,Royal Challengers Bangalore,all-rounder,14
HH Pandya,Mumbai Indians,batter,11
HV Patel,Royal Challengers Bangalore,all-rounder,15
Harbhajan Singh,Kolkata Knight Riders,all-rounder,3
Harpreet Brar,Punjab Kings,all-rounder,7
I Sharma,Delhi Capitals,bowler,3
IC Porel,Punjab Kings,bowler,1
Imran Tahir,Chennai Super Kings,bowler,1
Ishan Kishan,Mumbai Indians,batter,10
J Suchith,Sunrisers Hyderabad,all-rounder,2
J Yadav,Mumbai Indians,all-rounder,5
JA Richardson,Punjab Kings,all-rounder,3
JC Buttler,Rajasthan Royals,batter,7
JD Unadkat,Rajasthan Royals,all-rounder,6
JDS Neesham,Mumbai Indians,all-rounder,3
JJ Bumrah,Mumbai Indians,all-rounder,14
JJ Roy,Sunrisers Hyderabad,batter,5
JM Bairstow,Sunrisers Hyderabad,batter,7
JO Holder,Sunrisers Hyderabad,all-rounder,8
JR Hazlewood,Chennai Super Kings,bowler,9
Jalaj S Saxena,Punjab Kings,bowler,1
K Gowtham,Chennai Super Kings,batter,0
K Rabada,Delhi Capitals,all-rounder,15
K Yadav,Rajasthan Royals,all-rounder,1
KA Jamieson,Royal Challengers Bangalore,all-rounder,9
KA Pollard,Mumbai Indians,all-rounder,14
KD Karthik,Kolkata Knight Riders,batter,15
KH Pandya,Mumbai Indians,all-rounder,13
KK Ahmed,Sunrisers Hyderabad,all-rounder,7
KK Nair,Kolkata Knight Riders,batter,0
KL Nagarkoti,Kolkata Knight Riders,all-rounder,1
KL Rahul,Punjab Kings,batter,13
KM Asif,Chennai Super Kings,bowler,1
KM Jadhav,Sunrisers Hyderabad,batter,5
KS Bharat,Royal Challengers Bangalore,batter,6
KS Williamson,Sunrisers Hyderabad,batter,10
KW Richardson,Royal Challengers Bangalore,bowler,1
Kartik Tyagi,Rajasthan Royals,all-rounder,4
L Ngidi,Chennai Super Kings,bowler,3
LH Ferguson,Kolkata Knight Riders,all-rounder,8
LI Meriwala,Delhi Capitals,bowler,1
LS Livingstone,Rajasthan Royals,batter,5
Lalit Yadav,Delhi Capitals,all-rounder,7
M Ashwin,Punjab Kings,all-rounder,3
M Jansen,Mumbai Indians,all-rounder,2
M Markande,Rajasthan Royals,bowler,1
M Prasidh Krishna,Kolkata Knight Riders,all-rounder,10
M Shahrukh Khan,Punjab Kings,batter,10
M Vohra,Rajasthan Royals,batter,4
MA Agarwal,Punjab Kings,batter,12
MC Henriques,Punjab Kings,all-rounder,5
MJ Santner,Chennai Super Kings,batter,0
MK Lomror,Rajasthan Royals,all-rounder,4
MK Pandey,Sunrisers Hyderabad,batter,8
MM Ali,Chennai Super Kings,all-rounder,15
MP Stoinis,Delhi Capitals,all-rounder,10
MS Dhoni,Chennai Super Kings,batter,11
Mandeep Singh,Punjab Kings,batter,1
Mohammad Nabi,Sunrisers Hyderabad,all-rounder,3
Mohammed Shami,Punjab Kings,all-rounder,14
Mohammed Siraj,Royal Challengers Bangalore,all-rounder,15
Mujeeb Ur Rahman,Sunrisers Hyderabad,all-rounder,1
Mustafizur Rahman,Rajasthan Royals,all-rounder,14
N Pooran,Punjab Kings,batter,11
N Rana,Kolkata Knight Riders,all-rounder,16
NM Coulter-Nile,Mumbai Indians,all-rounder,5
NT Ellis,Punjab Kings,all-rounder,3
Navdeep Saini,Royal Challengers Bangalore,all-rounder,2
P Simran Singh,Punjab Kings,batter,2
PJ Cummins,Kolkata Knight Riders,all-rounder,7
PK Garg,Sunrisers Hyderabad,batter,5
PP Chawla,Mumbai Indians,all-rounder,1
PP Shaw,Delhi Capitals,batter,15
PWH de Silva,Royal Challengers Bangalore,all-rounder,2
Q de Kock,Mumbai Indians,batter,11
R Ashwin,Delhi Capitals,all-rounder,13
R Parag,Rajasthan Royals,all-rounder,10
R Tewatia,Rajasthan Royals,all-rounder,14
RA Jadeja,Chennai Super Kings,all-rounder,16
RA Tripathi,Kolkata Knight Riders,batter,16
RD Chahar,Mumbai Indians,all-rounder,11
RD Gaikwad,Chennai Super Kings,batter,16
RG Sharma,Mumbai Indians,all-rounder,13
RM Patidar,Royal Challengers Bangalore,batter,4
RP Meredith,Punjab Kings,bowler,5
RR Pant,Delhi Capitals,batter,16
RV Patel,Delhi Capitals,all-rounder,2
RV Uthappa,Chennai Super Kings,batter,4
Rashid Khan,Sunrisers Hyderabad,all-rounder,14
Ravi Bishnoi,Punjab Kings,all-rounder,9
S Dhawan,Delhi Capitals,batter,16
S Dube,Rajasthan Royals,all-rounder,9
S Gopal,Rajasthan Royals,all-rounder,3
S Kaul,Sunrisers Hyderabad,all-rounder,8
S Nadeem,Sunrisers Hyderabad,all-rounder,1
S Sandeep Warrier,Kolkata Knight Riders,bowler,1
SA Yadav,Mumbai Indians,batter,14
SK Raina,Chennai Super Kings,batter,11
SM Curran,Chennai Super Kings,all-rounder,9
SN Khan,Punjab Kings,batter,2
SN Thakur,Chennai Super Kings,all-rounder,16
SO Hetmyer,Delhi Capitals,batter,12
SP Narine,Kolkata Knight Riders,all-rounder,14
SPD Smith,Delhi Capitals,batter,7
SS Iyer,Delhi Capitals,batter,8
SS Tiwary,Mumbai Indians,batter,4
SV Samson,Rajasthan Royals,batter,14
Sachin Baby,Royal Challengers Bangalore,batter,1
Sandeep Sharma,Sunrisers Hyderabad,all-rounder,7
Shahbaz Ahmed,Royal Challengers Bangalore,all-rounder,8
Shakib Al Hasan,Kolkata Knight Riders,all-rounder,8
Shivam Mavi,Kolkata Knight Riders,all-rounder,9
Shubman Gill,Kolkata Knight Riders,batter,17
T Natarajan,Sunrisers Hyderabad,bowler,2
T Shamsi,Rajasthan Royals,all-rounder,1
TA Boult,Mumbai Indians,all-rounder,14
TG Southee,Kolkata Knight Riders,all-rounder,3
