match_number,date,opponent,venue,result,margin
3,2021-04-11,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",won,by 10 runs
5,2021-04-13,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",lost,by 10 runs
10,2021-04-18,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk, Chennai",lost,by 38 runs
15,2021-04-21,Chennai Super Kings,"Wankhede Stadium, Mumbai",lost,by 18 runs
18,2021-04-24,Rajasthan Royals,"Wankhede Stadium, Mumbai",lost,by 6 wickets
21,2021-04-26,Punjab Kings,"Narendra Modi Stadium, Ahmedabad",won,by 5 wickets
25,2021-04-29,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",lost,by 7 wickets
31,2021-09-20,Royal Challengers Bangalore,"Zayed Cricket Stadium, Abu Dhabi",won,by 9 wickets
34,2021-09-23,Mumbai Indians,"Zayed Cricket Stadium, Abu Dhabi",won,by 7 wickets
38,2021-09-26,Chennai Super Kings,"Zayed Cricket Stadium, Abu Dhabi",lost,by 2 wickets
41,2021-09-28,Delhi Capitals,Sharjah Cricket Stadium,won,by 3 wickets
45,2021-10-01,Punjab Kings,Dubai International Cricket Stadium,lost,by 5 wickets
49,2021-10-03,Sunrisers Hyderabad,Dubai International Cricket Stadium,won,by 6 wickets
54,2021-10-07,Rajasthan Royals,Sharjah Cricket Stadium,won,by 86 runs
58,2021-10-11,Royal Challengers Bangalore,Sharjah Cricket Stadium,won,by 4 wickets
59,2021-10-13,Delhi Capitals,Sharjah Cricket Stadium,won,by 3 wickets
60,2021-10-15,Chennai Super Kings,Dubai International Cricket Stadium,lost,by 27 runs
