match_number,date,opponent,catches,stumpings,run_outs
14,2012-04-12,Pune Warriors,1,0,0
25,2012-04-20,Royal Challengers Bangalore,1,0,0
28,2012-04-22,Mumbai Indians,0,0,1
33,2012-04-25,Mumbai Indians,1,0,0
37,2012-04-28,Chennai Super Kings,1,0,0
48,2012-05-05,Rajasthan Royals,2,0,0
53,2012-05-08,Deccan Chargers,2,0,1
