innings,team,wicket_number,player_out,score,over
1,Chennai Super Kings,1,M Vijay,18,4.4
1,Chennai Super Kings,2,MEK Hussey,78,13.3
1,Chennai Super Kings,3,SK Raina,136,18.5
1,Chennai Super Kings,4,JA Morkel,157,20.1
1,Chennai Super Kings,5,MS Dhoni,162,20.4
2,Deccan Chargers,1,S Sohal,71,7.5
2,Deccan Chargers,2,S Dhawan,90,11.6
2,Deccan Chargers,3,B Chipli,110,14.2
2,Deccan Chargers,4,KC Sangakkara,121,16.5
2,Deccan Chargers,5,CL White,137,19.1
2,Deccan Chargers,6,JP Duminy,143,19.6
2,Deccan Chargers,7,DT Christian,143,20.2
2,Deccan Chargers,8,A Mishra,146,20.6
