match_number,date,opponent,catches,stumpings,run_outs
27,2018-04-28,Mumbai Indians,1,0,0
35,2018-05-05,Royal Challengers Bangalore,1,0,0
52,2018-05-18,Delhi Daredevils,1,0,0
