innings,team,wicket_number,player_out,score,over
1,Royal Challengers Bangalore,1,CH Gayle,147,11.6
1,Royal Challengers Bangalore,2,AB de Villiers,154,12.4
1,Royal Challengers Bangalore,3,V Kohli,199,14.6
2,Kings XI Punjab,1,M Vijay,17,2.4
2,Kings XI Punjab,2,WP Saha,43,4.4
2,Kings XI Punjab,3,HM Amla,53,5.4
2,Kings XI Punjab,4,DA Miller,54,6.1
2,Kings XI Punjab,5,AR Patel,77,8.3
2,Kings XI Punjab,6,F Behardien,79,9.2
2,Kings XI Punjab,7,KJ Abbott,80,9.5
2,Kings XI Punjab,8,Gurkeerat Singh,96,11.5
2,Kings XI Punjab,9,MM Sharma,105,13.2
