match_number,date,opponent,venue,result,margin
4,2023-04-02,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",lost,by 72 runs
10,2023-04-07,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",lost,by 5 wickets
14,2023-04-09,Punjab Kings,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",won,by 8 wickets
19,2023-04-14,Kolkata Knight Riders,"Eden Gardens, Kolkata",won,by 23 runs
25,2023-04-18,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",lost,by 14 runs
29,2023-04-21,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",lost,by 7 wickets
34,2023-04-24,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",lost,by 7 runs
40,2023-04-29,Delhi Capitals,"Arun Jaitley Stadium, Delhi",won,by 9 runs
47,2023-05-04,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",lost,by 5 runs
52,2023-05-07,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",won,by 4 wickets
58,2023-05-13,Lucknow Super Giants,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",lost,by 7 wickets
62,2023-05-15,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",lost,by 34 runs
65,2023-05-18,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",lost,by 8 wickets
69,2023-05-21,Mumbai Indians,"Wankhede Stadium, Mumbai",lost,by 8 wickets
