match_number,date,opponent,catches,stumpings,run_outs
17,2017-04-16,Rising Pune Supergiant,1,0,1
20,2017-04-18,Gujarat Lions,1,0,0
27,2017-04-23,Kolkata Knight Riders,1,0,0
56,2017-05-14,Delhi Daredevils,2,0,0
