match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
2,2013-04-04,Mumbai Indians,M Chinnaswamy Stadium,4.0,0,27,3,6.75,8,0,0
7,2013-04-07,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",4.0,0,27,1,6.75,7,0,0
9,2013-04-09,Sunrisers Hyderabad,M Chinnaswamy Stadium,4.0,0,43,1,10.75,6,1,1
12,2013-04-11,Kolkata Knight Riders,M Chinnaswamy Stadium,4.0,0,36,2,9.0,8,0,0
16,2013-04-13,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",4.0,0,36,1,9.0,7,1,0
21,2013-04-16,Delhi Daredevils,M Chinnaswamy Stadium,4.0,0,21,1,5.25,12,0,0
27,2013-04-20,Rajasthan Royals,M Chinnaswamy Stadium,4.0,0,18,3,4.5,13,0,0
31,2013-04-23,Pune Warriors,M Chinnaswamy Stadium,4.0,0,24,1,6.0,10,0,0
37,2013-04-27,Mumbai Indians,Wankhede Stadium,4.0,0,38,1,9.5,10,1,0
40,2013-04-29,Rajasthan Royals,Sawai Mansingh Stadium,3.5,0,39,1,10.17,7,0,0
46,2013-05-02,Pune Warriors,Subrata Roy Sahara Stadium,4.0,0,31,3,7.75,9,1,0
51,2013-05-06,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",4.0,0,48,1,12.0,4,0,1
57,2013-05-10,Delhi Daredevils,Feroz Shah Kotla,4.0,0,43,1,10.75,5,1,0
60,2013-05-12,Kolkata Knight Riders,JSCA International Stadium Complex,3.2,0,17,2,5.1,11,1,0
63,2013-05-14,Kings XI Punjab,M Chinnaswamy Stadium,4.0,0,35,0,8.75,5,1,0
70,2013-05-18,Chennai Super Kings,M Chinnaswamy Stadium,1.0,0,10,1,10.0,2,0,0
