match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
5,2013-04-06,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",5,8,0,0,62.5,b MM Patel,2
11,2013-04-10,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",50,50,3,1,100.0,not out,1
16,2013-04-13,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",2,5,0,0,40.0,c KB Arun Karthik b R Rampaul,2
19,2013-04-15,Pune Warriors,"MA Chidambaram Stadium, Chepauk",24,22,2,1,109.09,c LRPL Taylor b AM Nayar,2
24,2013-04-18,Delhi Daredevils,Feroz Shah Kotla,18,13,3,0,138.46,lbw b M Morkel,2
26,2013-04-20,Kolkata Knight Riders,Eden Gardens,2,5,0,0,40.0,lbw b SMSM Senanayake,3
30,2013-04-22,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",3,5,0,0,60.0,c & b A Chandila,1
34,2013-04-25,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk",18,22,2,0,81.82,st Q de Kock b A Mishra,2
49,2013-05-05,Mumbai Indians,Wankhede Stadium,2,4,0,0,50.0,b MG Johnson,2
54,2013-05-08,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",29,20,2,3,145.0,c PA Patel b NLTC Perera,2
61,2013-05-12,Rajasthan Royals,Sawai Mansingh Stadium,55,50,6,0,110.0,run out (DH Yagnik),2
64,2013-05-14,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",31,23,3,1,134.78,run out (BJ Rohrer),2
70,2013-05-18,Royal Challengers Bangalore,M Chinnaswamy Stadium,32,19,2,2,168.42,c CH Gayle b R Rampaul,2
73,2013-05-21,Mumbai Indians,Feroz Shah Kotla,23,20,2,0,115.0,c DR Smith b KA Pollard,2
76,2013-05-26,Mumbai Indians,Eden Gardens,18,20,2,0,90.0,c RG Sharma b MG Johnson,2
